,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
37,Dougherty Comprehensive High School,Public district,9-12,1226.0,20:1,Dougherty County School District,3,Below average,"1800 Pearce Avenue, Albany, GA, 31705",2
38,Albany Middle School,Public district,6-8,988.0,18:1,Dougherty County School District,3,Below average,"1700 Cordell Avenue, Albany, GA, 31705",2
39,West Town Elementary School,Public district,PK-5,450.0,13:1,Dougherty County School District,3,Below average,"1113 University Street, Albany, GA, 31707",2
40,Turner Elementary School,Public district,PK-5,486.0,15:1,Dougherty County School District,3,Below average,"2001 Leonard Avenue, Albany, GA, 31705",2
41,Alice Coachman Elementary School,Public district,PK-5,499.0,16:1,Dougherty County School District,2,Below average,"1425 West Oakridge Drive, Albany, GA, 31721",2
42,Martin Luther King- Jr. Elementary School,Public district,PK-5,614.0,18:1,Dougherty County School District,2,Below average,"3125 Martin Luther King Junior Drive, Albany, GA, 31701",2
43,Radium Springs Middle School,Public district,6-8,779.0,12:1,Dougherty County School District,2,Below average,"2600 Radium Springs Road, Albany, GA, 31705",2
44,Jackson Heights Elementary School,Public district,PK-5,701.0,16:1,Dougherty County School District,2,Below average,"1305 East 2nd Avenue, Albany, GA, 31705",2
45,Northside Elementary School,Public district,PK-5,410.0,15:1,Dougherty County School District,2,Below average,"901 14th Avenue, Albany, GA, 31701",2
50,Kipp Tech Valley Charter School,Public charter,"K-1, 5-8",492.0,15:1,,9,Above average,"321 Northern Boulevard, Albany, NY, 12210",2
51,Loudonville School,Public district,K-6,306.0,13:1,North Colonie Central School District,8,Above average,"349 Osborne Road, Albany, NY, 12211",2
52,Southgate School,Public district,K-6,410.0,11:1,North Colonie Central School District,8,Above average,"30 Southgate Road, Albany, NY, 12211",2
53,Saddlewood Elementary School,Public district,PK-4,390.0,13:1,South Colonie Central School District,8,Above average,"100 Loralee Drive, Albany, NY, 12205",2
54,Montessori Magnet School,Public district,PK-5,330.0,17:1,Albany City School District,7,Above average,"45 Tremont Street, Albany, NY, 12205",2
55,Shaker Road Elementary School,Public district,K-4,358.0,13:1,South Colonie Central School District,7,Above average,"512 Albany Shaker Road, Albany, NY, 12211",2
56,Veeder Elementary School,Public district,K-4,422.0,12:1,South Colonie Central School District,7,Above average,"25 Veeder Drive, Albany, NY, 12205",2
57,Brighter Choice Charter School for Girls,Public charter,K-5,338.0,10:1,,7,Above average,"250 Central Avenue, Albany, NY, 12206",2
58,Westmere Elementary School,Public district,K-5,495.0,11:1,Guilderland Central School District,6,Average,"6270 Johnston Road, Albany, NY, 12203",2
59,William S Hackett Middle School,Public district,6-8,676.0,10:1,Albany City School District,6,Average,"45 Delaware Avenue, Albany, NY, 12202",2
60,Colonie Central High School,Public district,9-12,1530.0,11:1,South Colonie Central School District,6,Average,"1 Raider Boulevard, Albany, NY, 12205",2
61,Sand Creek Middle School,Public district,5-8,825.0,10:1,South Colonie Central School District,6,Average,"329 Sand Creek Road, Albany, NY, 12205",2
62,Lisha Kill Middle School,Public district,5-8,619.0,11:1,South Colonie Central School District,6,Average,"68 Waterman Avenue, Albany, NY, 12205",2
63,Brighter Choice Charter School for Boys,Public charter,K-5,319.0,12:1,,6,Average,"116 North Lake Avenue, Albany, NY, 12206",2
64,Henry Johnson Charter School,Public charter,K-4,365.0,11:1,,6,Average,"30 Watervliet Avenue, Albany, NY, 12206",2
65,Albany Community Charter School,Public charter,K-8,681.0,19:1,,6,Average,"65 Krank Street, Albany, NY, 12202",2
66,Thomas S O Brien Academy Of Science And Tech,Public district,K-6,437.0,18:1,Albany City School District,5,Average,"94 Delaware Avenue, Albany, NY, 12202",2
67,Roessleville School,Public district,PK-4,408.0,15:1,South Colonie Central School District,5,Average,"100 California Avenue, Albany, NY, 12205",2
68,Delaware Community School,Public district,PK-5,418.0,18:1,Albany City School District,5,Average,"43 Bertha Street, Albany, NY, 12209",2
69,New Scotland Elementary School,Public district,K-5,501.0,10:1,Albany City School District,4,Below average,"385 New Scotland Avenue, Albany, NY, 12208",2
70,Albany School Of Humanities,Public district,K-6,504.0,20:1,Albany City School District,4,Below average,"108 Whitehall Road, Albany, NY, 12209",2
71,Albany Leadership Charter High School For Girls,Public charter,9-12,360.0,11:1,,4,Below average,"19 Hackett Boulevard, Albany, NY, 12208",2
72,Forest Park Elementary School,Public district,K-4,279.0,9:1,South Colonie Central School District,4,Below average,"100 Forest Drive, Albany, NY, 12205",2
73,Albany High School,Public district,9-12,2624.0,15:1,Albany City School District,4,Below average,"700 Washington Avenue, Albany, NY, 12203",2
74,Arbor Hill Elementary School,Public district,K-5,314.0,17:1,Albany City School District,4,Below average,"1 Arbor Drive, Albany, NY, 12207",2
75,Oak Grove Intermediate School,Public district,2-5,280.0,23:1,Greater Albany Public School District 8j,9,Above average,"1500 Northwest Oak Grove Drive, Albany, OR, 97321",2
76,West Albany High School,Public district,9-12,1346.0,23:1,Greater Albany Public School District 8j,8,Above average,"1130 Southwest Queen Avenue, Albany, OR, 97321",2
77,North Albany Elementary School,Public district,K-5,268.0,21:1,Greater Albany Public School District 8j,8,Above average,"815 Northwest East Thornton Lake Drive, Albany, OR, 97321",2
78,Liberty Elementary School,Public district,K-5,335.0,21:1,Greater Albany Public School District 8j,7,Above average,"2345 Southwest Liberty Street, Albany, OR, 97321",2
79,Timber Ridge School,Public district,3-8,745.0,21:1,Greater Albany Public School District 8j,6,Average,"373 Timber Ridge Street Northeast, Albany, OR, 97322",2
80,Central Elementary School,Public district,3-5,166.0,20:1,Greater Albany Public School District 8j,6,Average,"336 Southwest 9th Avenue, Albany, OR, 97321",2
81,Oak Elementary School,Public district,K-5,334.0,22:1,Greater Albany Public School District 8j,6,Average,"3610 Oak Street Southeast, Albany, OR, 97321",2
82,South Albany High School,Public district,9-12,1391.0,22:1,Greater Albany Public School District 8j,5,Average,"3705 Southeast Columbus Street, Albany, OR, 97322",2
83,Sunrise Elementary School,Public district,K-5,382.0,17:1,Greater Albany Public School District 8j,4,Below average,"730 Southeast 19th Avenue, Albany, OR, 97322",2
84,Waverly Elementary School,Public district,K-5,260.0,13:1,Greater Albany Public School District 8j,4,Below average,"425 Southeast Columbus Street, Albany, OR, 97322",2
85,North Albany Middle School,Public district,6-8,608.0,20:1,Greater Albany Public School District 8j,4,Below average,"1205 Northwest North Albany Road, Albany, OR, 97321",2
86,Riverside High School,Public district,10-12,7.0,,Ode Ycep District,3,Below average,"4400 Lochner Road Southeast, Albany, OR, 97322",2
87,Lafayette Elementary School,Public district,K-5,328.0,18:1,Greater Albany Public School District 8j,3,Below average,"3122 Southeast Madison Street, Albany, OR, 97322",2
88,South Shore Elementary School,Public district,K-5,417.0,17:1,Greater Albany Public School District 8j,3,Below average,"910 Bain Street Southeast, Albany, OR, 97322",2
89,Periwinkle Elementary School,Public district,K-5,440.0,20:1,Greater Albany Public School District 8j,3,Below average,"2196 21st Avenue Southeast, Albany, OR, 97322",2
90,Calapooia Middle School,Public district,6-8,554.0,21:1,Greater Albany Public School District 8j,3,Below average,"830 Southeast 24th Avenue, Albany, OR, 97322",2
91,Memorial Middle School,Public district,6-8,604.0,20:1,Greater Albany Public School District 8j,2,Below average,"1050 Southwest Queen Avenue, Albany, OR, 97321",2
100,S. Y. Jackson Elementary School,Public district,K-5,556.0,16:1,Albuquerque Public Schools,10,Top rated,"4720 Cairo Drive Northeast, Albuquerque, NM, 87111",2
101,Hubert H Humphrey Elementary School,Public district,PK-5,461.0,17:1,Albuquerque Public Schools,10,Top rated,"9801 Academy Hills Dr Ne, Albuquerque, NM, 87111",2
102,College and Career High School,Public district,9-12,160.0,15:1,Albuquerque Public Schools,10,Top rated,"900 University Boulevard Southeast, Albuquerque, NM, 87106",2
103,Albuquerque Institute Of Math & Science,Public charter,6-12,367.0,18:1,Albuquerque Institute Of Math & Science,9,Above average,"933 Bradbury Drive Southeast, Albuquerque, NM, 87106",2
104,The Family School,Public district,K-8,297.0,20:1,Albuquerque Public Schools,9,Above average,"3000 Adams Street Northeast, Albuquerque, NM, 87110",2
105,Georgia O'keeffe Elementary School,Public district,K-5,692.0,17:1,Albuquerque Public Schools,9,Above average,"1701 San Victorio Av Ne, Albuquerque, NM, 87111",2
106,Double Eagle Elementary School,Public district,PK-5,551.0,17:1,Albuquerque Public Schools,9,Above average,"8901 Lowell Drive Northeast, Albuquerque, NM, 87122",2
107,Desert Ridge Middle School,Public district,6-8,1011.0,16:1,Albuquerque Public Schools,9,Above average,"8400 Barstow Street Northeast, Albuquerque, NM, 87122",2
108,North Star Elementary School,Public district,K-5,640.0,17:1,Albuquerque Public Schools,9,Above average,"9301 Ventura Street Northeast, Albuquerque, NM, 87122",2
109,Cottonwood Classical Prep,Public charter,6-12,734.0,16:1,Cottonwood Classical Prep,9,Above average,"7801 Jefferson Street Northeast, Albuquerque, NM, 87109",2
110,Eisenhower Middle School,Public district,6-8,841.0,17:1,Albuquerque Public Schools,9,Above average,"11001 Camero Avenue Northeast, Albuquerque, NM, 87111",2
111,Onate Elementary School,Public district,PK-5,244.0,14:1,Albuquerque Public Schools,8,Above average,"12415 Brentwood Hills Boulevard Northeast, Albuquerque, NM, 87112",2
112,Public Academy For Performing Arts,Public charter,6-12,380.0,14:1,Albuquerque Public Schools,8,Above average,"11800 Princess Jeanne Ave NE , Albuquerque, NM, 87112",2
113,Dennis Chavez Elementary School,Public district,PK-5,577.0,13:1,Albuquerque Public Schools,8,Above average,"7500 Barstow Street Northeast, Albuquerque, NM, 87109",2
114,La Cueva High School,Public district,9-12,1755.0,19:1,Albuquerque Public Schools,8,Above average,"7801 Wilshire Avenue Northeast, Albuquerque, NM, 87122",2
115,Tierra Antigua Elementary School,Public district,K-5,925.0,18:1,Albuquerque Public Schools,8,Above average,"8121 Rainbow Boulevard Northwest, Albuquerque, NM, 87114",2
116,Nex Gen Academy,Public district,9-12,337.0,14:1,Albuquerque Public Schools,8,Above average,"5323 Montgomery Boulevard Northeast, Albuquerque, NM, 87109",2
117,Explore Academy,Public charter,6-12,233.0,8:1,Explore Academy,8,Above average,"5100 Masthead St NE , Albuquerque, NM, 87109",2
118,Amy Biehl Charter High School,Public charter,9-12,291.0,14:1,Amy Biehl Charter High School,7,Above average,"123 4th Street Southwest, Albuquerque, NM, 87102",2
119,Twenty-First Century,Public charter,5-8,241.0,14:1,Albuquerque Public Schools,7,Above average,"4300 Cutler Avenue NE, Albuquerque, NM, 87109",2
120,Osuna Elementary School,Public district,K-5,535.0,16:1,Albuquerque Public Schools,7,Above average,"4715 Moon Street Northeast, Albuquerque, NM, 87111",2
121,Sandia High School,Public district,9-12,1733.0,17:1,Albuquerque Public Schools,7,Above average,"7801 Candelaria Road Northeast, Albuquerque, NM, 87110",2
122,Montessori Of The Rio Grande,Public charter,K-6,217.0,20:1,Albuquerque Public Schools,7,Above average,"1650 Gabaldon Drive Northwest, Albuquerque, NM, 87104",2
123,Ventana Ranch Elementary School,Public district,K-5,766.0,18:1,Albuquerque Public Schools,7,Above average,"6801 Ventana Rd Nw, Albuquerque, NM, 87114",2
124,Montessori Elementary School,Public charter,K-8,421.0,19:1,Montessori Elementary School,7,Above average,"1730 Montaño Road Northwest, Albuquerque, NM, 87107",2
125,Phoenix Magnet Elementary School,Public district,PK-6,528.0,17:1,Rapides Parish School District,8,Above average,"4500 Lincoln Road, Alexandria, LA, 71302",2
126,Peabody Montessori Elementary School,Public district,PK-6,468.0,16:1,Rapides Parish School District,8,Above average,"2416 3rd Street, Alexandria, LA, 71302",2
127,Alexandria Senior High SchoolLouisiana,Public district,9-12,1319.0,18:1,Rapides Parish School District,7,Above average,"800 Ola Street, Alexandria, LA, 71303",2
128,Scott M. Brame Middle School,Public district,6-8,845.0,16:1,Rapides Parish School District,7,Above average,"4800 Dawn Street, Alexandria, LA, 71301",2
129,Cherokee Elementary School,Public district,PK-5,563.0,15:1,Rapides Parish School District,7,Above average,"5700 Prescott Road, Alexandria, LA, 71301",2
130,Poland Junior High School,Public district,PK-8,383.0,16:1,Rapides Parish School District,7,Above average,"3348 Louisiana 457, Alexandria, LA, 71302",2
131,Horseshoe Drive Elementary New Vision Academy,Public district,PK-5,276.0,9:1,Rapides Parish School District,6,Average,"2905 Horseshoe Drive, Alexandria, LA, 71301",2
132,J.B. Nachman Elementary School,Public district,PK-5,574.0,16:1,Rapides Parish School District,6,Average,"4102 Wakefield Boulevard, Alexandria, LA, 71303",2
133,W.O. Hall Elementary School,Public district,PK-5,179.0,14:1,Rapides Parish School District,6,Average,"3111 Jones Avenue, Alexandria, LA, 71302",2
134,Alma Redwine Elementary New Vision Academy,Public district,PK-6,226.0,11:1,Rapides Parish School District,6,Average,"1323 Vance Avenue, Alexandria, LA, 71301",2
135,Julius Patrick Elementary School,Public district,PK-5,262.0,11:1,Rapides Parish School District,5,Average,"1402 Reed Avenue, Alexandria, LA, 71301",2
136,Rosenthal Montessori Elementary School,Public district,PK-6,387.0,16:1,Rapides Parish School District,5,Average,"1951 Monroe Street, Alexandria, LA, 71301",2
137,Alexandria Middle Magnet School,Public district,6-8,544.0,16:1,Rapides Parish School District,4,Below average,"122 Maryland Avenue, Alexandria, LA, 71301",2
138,Bolton High School,Public district,9-12,638.0,13:1,Rapides Parish School District,4,Below average,"2101 Vance Avenue, Alexandria, LA, 71301",2
139,Mabel Brasher Elementary School,Public district,PK-6,280.0,12:1,Rapides Parish School District,4,Below average,"601 Cloverleaf Boulevard, Alexandria, LA, 71303",2
140,Arthur F. Smith Middle Magnet School,Public district,6-8,508.0,18:1,Rapides Parish School District,3,Below average,"3100 David Jones Street, Alexandria, LA, 71302",2
141,Martin Park Elementary School,Public district,PK-5,292.0,15:1,Rapides Parish School District,3,Below average,"4203 Lisa Street, Alexandria, LA, 71302",2
142,L.S. Rugg Elementary School,Public district,PK-5,250.0,11:1,Rapides Parish School District,3,Below average,"1319 Bush Avenue, Alexandria, LA, 71301",2
143,North Bayou Rapides Elementary New Vision Academy,Public district,PK-6,319.0,14:1,Rapides Parish School District,2,Below average,"5500 England Drive, Alexandria, LA, 71303",2
144,Peabody Magnet High School,Public district,9-12,653.0,14:1,Rapides Parish School District,2,Below average,"2727 Jones Avenue, Alexandria, LA, 71302",2
150,Cetronia School,Public district,K-5,579.0,16:1,Parkland School District,8,Above average,"3635 Broadway, Allentown, PA, 18104",2
151,Kratzer School,Public district,K-5,455.0,14:1,Parkland School District,8,Above average,"2200 Huckleberry Road, Allentown, PA, 18104",2
152,Springhouse Middle School,Public district,6-8,1286.0,19:1,Parkland School District,8,Above average,"1200 Springhouse Road, Allentown, PA, 18104",2
153,Salisbury Senior High School,Public district,9-12,573.0,16:1,Salisbury Township School District,7,Above average,"500 East Montgomery Street, Allentown, PA, 18103",2
154,Wescosville El School,Public district,K-5,508.0,14:1,East Penn School District,7,Above average,"1064 Liberty Lane, Allentown, PA, 18106",2
155,Parkway Manor School,Public district,K-5,556.0,15:1,Parkland School District,6,Average,"768 Parkway Road, Allentown, PA, 18104",2
156,Parkland Senior High School,Public district,9-12,3216.0,20:1,Parkland School District,6,Average,"2700 North Cedar Crest Boulevard, Allentown, PA, 18104",2
157,Lincoln Leadership Academy Charter School,Public charter,K-12,735.0,15:1,Lincoln Leadership Academy Charter School,5,Average,"1414 East Cedar St, Allentown, PA, 18109",2
158,Arts Academy Charter School,Public charter,5-8,363.0,13:1,Arts Academy Cs,5,Average,"1610 East Emmaus Avenue, Allentown, PA, 18103",2
159,Western Salisbury El School,Public district,K-5,243.0,13:1,Salisbury Township School District,5,Average,"3201 Devonshire Road, Allentown, PA, 18103",2
160,Harry S Truman El School,Public district,K-5,386.0,15:1,Salisbury Township School District,5,Average,"1400 Gaskill Street, Allentown, PA, 18103",2
161,Roberto Clemente Cs,Public charter,6-12,313.0,14:1,Roberto Clemente Cs,5,Average,"136 South 4th Street, Allentown, PA, 18102",2
162,Muhlenberg El School,Public district,K-5,448.0,13:1,Allentown City School District,5,Average,"740 North 21st Street, Allentown, PA, 18104",2
163,Executive Education Academy Charter School,Public charter,K-10,1183.0,18:1,Test Load DISTRICT 121398065,4,Below average,"555 Union Boulevard, Allentown, PA, 18109",2
164,Salisbury Middle School,Public district,6-8,370.0,13:1,Salisbury Township School District,4,Below average,"3301 Devonshire Road, Allentown, PA, 18103",2
165,Hiram W Dodd El School,Public district,K-5,649.0,15:1,Allentown City School District,4,Below average,"1944 South Church Street, Allentown, PA, 18103",2
166,Ritter El School,Public district,K-5,604.0,13:1,Allentown City School District,4,Below average,"790 North Plymouth Street, Allentown, PA, 18109",2
167,Central El School,Public district,K-5,727.0,16:1,Allentown City School District,4,Below average,"829 West Turner Street, Allentown, PA, 18102",2
168,Cleveland El School,Public district,1-5,289.0,13:1,Allentown City School District,4,Below average,"424 North 9th Street, Allentown, PA, 18102",2
169,Luis A. Ramos El School,Public district,K-5,697.0,15:1,Allentown City School District,3,Below average,"1430 West Allen Street, Allentown, PA, 18102",2
170,Roberto Clemente Elementary Charter School,Public charter,K-5,304.0,17:1,Test Load DISTRICT 121391526,3,Below average,"501 Cedar Street, Allentown, PA, 18102",2
171,Jefferson El School,Public district,K-5,557.0,16:1,Allentown City School District,3,Below average,"750 Saint John Street, Allentown, PA, 18103",2
172,Lehigh Park El School,Public district,K-5,338.0,17:1,Allentown City School District,3,Below average,"1708 Coronado Street, Allentown, PA, 18103",2
173,Mosser El School,Public district,K-5,549.0,13:1,Allentown City School District,3,Below average,"129 South Dauphin Street, Allentown, PA, 18109",2
174,Roosevelt Elementary School,Public district,K-5,670.0,14:1,Allentown City School District,3,Below average,"210 West Susquehanna Street, Allentown, PA, 18103",2
175,Irving El School,Public district,K-6,352.0,19:1,Altoona Area School District,9,Above average,"110 Cherry Avenue, Altoona, PA, 16601",2
176,Juniata Gap El School,Public district,K-6,693.0,16:1,Altoona Area School District,6,Average,"3365 Juniata Gap Road, Altoona, PA, 16601",2
177,Mowrie A Ebner El School,Public district,K-6,610.0,15:1,Altoona Area School District,6,Average,"308 Hillside Avenue, Altoona, PA, 16601",2
178,Baker El School,Public district,K-6,330.0,18:1,Altoona Area School District,6,Average,"108 Ward Avenue, Altoona, PA, 16602",2
179,Pleasant Valley El School,Public district,K-6,582.0,18:1,Altoona Area School District,5,Average,"310 Cayuga Avenue, Altoona, PA, 16602",2
180,Altoona Area High School,Public district,7-12,1684.0,14:1,Altoona Area School District,5,Average,"1415 6th Avenue, Altoona, PA, 16602",2
181,Logan El School,Public district,K-6,532.0,15:1,Altoona Area School District,4,Below average,"301 Sycamore Street, Altoona, PA, 16602",2
182,Juniata El School,Public district,K-6,601.0,15:1,Altoona Area School District,3,Below average,"418 North 8th Avenue, Altoona, PA, 16601",2
183,Altoona Area Jr High School,Public district,7-9,1745.0,14:1,Altoona Area School District,3,Below average,"1400 7th Avenue, Altoona, PA, 16602",2
184,Penn-Lincoln Elementary School,Public district,K-6,439.0,13:1,Altoona Area School District,2,Below average,"411 12th Street, Altoona, PA, 16602",2
185,Kimmel Alternative School,Public district,7-12,38.0,10:1,Altoona Area School District,1,Below average,"900 South Jaggard Street, Altoona, PA, 16602",2
200,Arden Road Elementary School,Public district,PK-4,476.0,16:1,Canyon Independent School District,9,Above average,"6801 Learning Tree Avenue, Amarillo, TX, 79119",2
201,Tradewind Elementary School,Public district,PK-5,659.0,17:1,Amarillo Independent School District,8,Above average,"4300 South Williams Street, Amarillo, TX, 79118",2
202,Hillside Elementary School,Public district,PK-4,552.0,18:1,Canyon Independent School District,8,Above average,"9600 Perry Avenue, Amarillo, TX, 79119",2
203,Travis 6th Grade Campus,Public district,6,346.0,18:1,Amarillo Independent School District,8,Above average,"2801 Northeast 24th Avenue, Amarillo, TX, 79107",2
204,Belmar Elementary School,Public district,PK-5,404.0,15:1,Amarillo Independent School District,8,Above average,"6324 Adirondack Trail, Amarillo, TX, 79106",2
205,Emerson Elementary School,Public district,PK-5,538.0,13:1,Amarillo Independent School District,8,Above average,"600 North Cleveland Street, Amarillo, TX, 79107",2
206,Humphrey's Highland Elementary School,Public district,PK-5,572.0,14:1,Amarillo Independent School District,8,Above average,"3901 Southeast 15th Avenue, Amarillo, TX, 79104",2
207,South Georgia Elementary School,Public district,PK-5,405.0,16:1,Amarillo Independent School District,8,Above average,"5018 Susan Drive, Amarillo, TX, 79110",2
208,Sleepy Hollow Elementary School,Public district,PK-5,557.0,16:1,Amarillo Independent School District,8,Above average,"3435 Reeder Drive, Amarillo, TX, 79121",2
209,Woodlands Elementary School,Public district,PK-4,416.0,17:1,Amarillo Independent School District,8,Above average,"2501 North Coulter Street, Amarillo, TX, 79124",2
210,Greenways Intermediate School,Public district,5-6,951.0,16:1,Canyon Independent School District,8,Above average,"8100 Pineridge Drive, Amarillo, TX, 79119",2
211,Lorenzo De Zavala Middle School,Public district,5-8,420.0,14:1,Amarillo Independent School District,7,Above average,"2801 North Coulter Street, Amarillo, TX, 79124",2
212,Gene Howe Elementary School,Public district,PK-4,374.0,15:1,Canyon Independent School District,7,Above average,"5108 Pico Boulevard, Amarillo, TX, 79110",2
213,Sundown Lane Elementary School,Public district,PK-4,282.0,19:1,Canyon Independent School District,7,Above average,"4715 West Sundown Lane, Amarillo, TX, 79118",2
214,Vista Academy Of Amarillo,Public charter,PK-12,481.0,16:1,Texas College Preparatory Academies,7,Above average,"6000 S Georgia St, Amarillo, TX, 79118",2
215,City View Elementary School,Public district,PK-4,533.0,17:1,Canyon Independent School District,7,Above average,"3400 Knoll Drive, Amarillo, TX, 79110",2
216,Avondale Elementary School,Public district,PK-5,515.0,15:1,Amarillo Independent School District,7,Above average,"1500 South Avondale Street, Amarillo, TX, 79106",2
217,Bivins Elementary School,Public district,PK-5,537.0,17:1,Amarillo Independent School District,7,Above average,"1500 South Fannin Street, Amarillo, TX, 79102",2
218,Bonham Middle School,Public district,6-8,820.0,15:1,Amarillo Independent School District,7,Above average,"5600 Southwest 49th Avenue, Amarillo, TX, 79109",2
219,Lamar Elementary School,Public district,PK-5,337.0,10:1,Amarillo Independent School District,7,Above average,"3800 South Lipscomb Street, Amarillo, TX, 79110",2
220,Puckett Elementary School,Public district,PK-5,404.0,17:1,Amarillo Independent School District,7,Above average,"6700 Oakhurst Drive, Amarillo, TX, 79109",2
221,Wills Elementary School,Public district,PK-5,588.0,15:1,Amarillo Independent School District,7,Above average,"3500 Southwest 11th Avenue, Amarillo, TX, 79106",2
222,Carver El Academy,Public district,2-5,327.0,13:1,Amarillo Independent School District,7,Above average,"1905 Northwest 12th Avenue, Amarillo, TX, 79107",2
223,Westover Park Jr High School,Public district,7-8,892.0,19:1,Canyon Independent School District,6,Average,"7200 V F West Road, Amarillo, TX, 79119",2
