,0
253,Color Our Rainbow Academy
254,Kid's Country
255,Bridges Learning Center
256,Akron Alternative Academy
257,Bath Academy of Early Childhood
258,Our Lady of the Elms Preschool
259,North Hill Ymca Child Care Center
260,Kandy Kane Christian Dcc
261,Kandy Kane Christian Day Care
262,The Goddard School - Akron
263,Salvation Army Akron Child Care Center
264,Ymca Child Care
265,Oakcreek Head Start
266,Salvation Army Learning Zone Child Care Center
267,St. Paul Hillwood Head Start Center
268,Saint Paul's Nursery School
269,Kid's University Pre-School & Dcc
270,A Beautiful Child's Pre-School
271,Savory Care Child Care Center
272,United Methodist Nursery School
273,Lakemore United Methodist Pre-School
274,Henry Center for Child Care
275,Kenmore High School
276,Kent Middle School
277,Akron Digital Academy
278,Color Our Rainbow Academy
279,Kid's Country
280,Bridges Learning Center
281,Akron Alternative Academy
282,Bath Academy of Early Childhood
283,Our Lady of the Elms Preschool
284,North Hill Ymca Child Care Center
285,Kandy Kane Christian Dcc
286,Kandy Kane Christian Day Care
287,The Goddard School - Akron
288,Salvation Army Akron Child Care Center
289,Ymca Child Care
290,Oakcreek Head Start
291,Salvation Army Learning Zone Child Care Center
292,St. Paul Hillwood Head Start Center
293,Saint Paul's Nursery School
294,Kid's University Pre-School & Dcc
295,A Beautiful Child's Pre-School
296,Savory Care Child Care Center
297,United Methodist Nursery School
298,Lakemore United Methodist Pre-School
299,Henry Center for Child Care
300,Valley Kids Learning Center Ii
301,Kinder Garden Montessori School
302,Praise Day Care Center
303,Salvation Army Child Development Center
304,Kenmore Christian Pre-School
305,Fairlawn West Pre-School
306,Immaculate Conception Ps & Child Care Center
307,Childtime Learning Center
308,Park's Little Shepherd Ps
309,Riverside Alliance Pre-School
310,Noah's Ark Child Care Center
311,All Around the Clock Child Care Center
312,Childtime Children's Center #506
313,Faith Lutheran Pre-School
314,Firestone Park Pre-School
315,Nanna's Day Care
316,Kim's Kids Day Care
317,Sunnybrook Care DC
318,Community Christian Pre-School Dc
319,Fairlawn Village Pre-School
320,Green Kindercare
321,Firestone Park Ymca Pre-School Cc
322,YMCA Sacc-Firestone Park
323,Firestone Pk Ymca Sacc-Glover
324,St. Sebastian Elementary School
325,Valley Kids Learning Center Ii
326,Kinder Garden Montessori School
327,Praise Day Care Center
328,Salvation Army Child Development Center
329,Kenmore Christian Pre-School
330,Fairlawn West Pre-School
331,Immaculate Conception Ps & Child Care Center
332,Childtime Learning Center
333,Park's Little Shepherd Ps
334,Riverside Alliance Pre-School
335,Noah's Ark Child Care Center
336,All Around the Clock Child Care Center
337,Childtime Children's Center #506
338,Faith Lutheran Pre-School
339,Firestone Park Pre-School
340,Nanna's Day Care
341,Kim's Kids Day Care
342,Sunnybrook Care DC
343,Community Christian Pre-School Dc
344,Fairlawn Village Pre-School
345,Green Kindercare
346,Firestone Park Ymca Pre-School Cc
347,YMCA Sacc-Firestone Park
348,Firestone Pk Ymca Sacc-Glover
349,St. Sebastian Elementary School
350,Rosa's Playhouse Dc
351,A Y's Place Child Development Center
352,Kids Play Learning Center
353,Ring Around The Rosie
354,Brenda's Place Day Care
355,All About Children Urban Child Care Center
356,Asca Early Head Start-Agape
357,Woodland Pre-School & Kindergarten
358,Kozmic Korner
359,Genesis Too Dayc Are
360,Lakeview Christian Pre-School
361,Summa Early Education & Learning Center
362,Genesis Child Care & Development Center
363,Erma Jones Pre-School
364,Child Time Learning Center
365,Montrose Pre-School
366,Green Valley Christian Pre-School
367,YWCA Sacc-Portage Path
368,YWCA Central Child Care
369,Eastgate Pre-School
370,David Bennett Child Development Center
371,Early Childhood Education
372,Project Agape Day Care
373,Bobby Kidd Dev Center
374,Family Enrichment Child Care Center
375,Rosa's Playhouse Dc
376,A Y's Place Child Development Center
377,Kids Play Learning Center
378,Ring Around The Rosie
379,Brenda's Place Day Care
380,All About Children Urban Child Care Center
381,Asca Early Head Start-Agape
382,Woodland Pre-School & Kindergarten
383,Kozmic Korner
384,Genesis Too Dayc Are
385,Lakeview Christian Pre-School
386,Summa Early Education & Learning Center
387,Genesis Child Care & Development Center
388,Erma Jones Pre-School
389,Child Time Learning Center
390,Montrose Pre-School
391,Green Valley Christian Pre-School
392,YWCA Sacc-Portage Path
393,YWCA Central Child Care
394,Eastgate Pre-School
395,David Bennett Child Development Center
396,Early Childhood Education
397,Project Agape Day Care
398,Bobby Kidd Dev Center
399,Family Enrichment Child Care Center
400,Morning Glories Pre-School & Child Development Center
401,Grace Lutheran Pre-School
402,Destiny Youth Academy
403,Legacy Childcare Academy
404,Kozmic Korner Day Care
405,Center for Child Development
406,Center For Child Devel- Akron
407,Imagine Akron Academy
408,Morning Glories Pre-School & Child Development Center
409,Grace Lutheran Pre-School
410,Destiny Youth Academy
411,Legacy Childcare Academy
412,Kozmic Korner Day Care
413,Center for Child Development
414,Center For Child Devel- Akron
415,Imagine Akron Academy
416,Robert A. Cross Middle Magnet
417,Lincoln Elementary Magnet School
418,Lake Park Elementary School
419,Radium Springs Elementary School
420,International Studies Elementary Charter School
421,Westover High School
422,Sherwood Acres Elementary School
423,Merry Acres Middle School
424,Lamar Reese School Of The Arts
425,Monroe High School
426,Morningside Elementary School
427,Dougherty Comprehensive High School
428,Albany Middle School
429,West Town Elementary School
430,Turner Elementary School
431,Live Oak Elementary School
432,Northside Elementary School
433,Alice Coachman Elementary School
434,Martin Luther King- Jr. Elementary School
435,Radium Springs Middle School
436,Jackson Heights Elementary School
437,Life Christian Academy Of Palmyra
438,New Birth Fellowship Christian Academy
439,Trinity Learning Institute
440,Far Horizons Montessori
441,Robert A. Cross Middle Magnet
442,Lincoln Elementary Magnet School
443,Lake Park Elementary School
444,Radium Springs Elementary School
445,International Studies Elementary Charter School
446,Westover High School
447,Sherwood Acres Elementary School
448,Merry Acres Middle School
449,Lamar Reese School Of The Arts
450,Monroe High School
451,Morningside Elementary School
452,Dougherty Comprehensive High School
453,Albany Middle School
454,West Town Elementary School
455,Turner Elementary School
456,Live Oak Elementary School
457,Northside Elementary School
458,Alice Coachman Elementary School
459,Martin Luther King- Jr. Elementary School
460,Radium Springs Middle School
461,Jackson Heights Elementary School
462,Life Christian Academy Of Palmyra
463,New Birth Fellowship Christian Academy
464,Trinity Learning Institute
465,Far Horizons Montessori
466,Whitney Center Head Start
467,Wee-Kare Day Care & Pre-School
468,Turner Job Corporation Head Start
469,Tee's Tiny Tots Learning Center I
470,Pediatria Healthcare Kids Child Care Center
471,Lippitt Center Head Start
472,Harvey Rd Head Start Child Care Center
473,Mt Zion Cdc Head Start
474,Spgs Little Citizens Learning
475,Children's Creative Learning Center
476,East Albany Christian Dcc
477,Whitney Head Start
478,Greene's Child Development Center
479,Katrina's Day Care
480,Fun Learning Dc
481,Sister/Sister Learning Center
482,Hansel & Gretel Dc & Lc 2
483,Positive Image Learning Center
484,Open Hearts & Minds Learning
485,New Birth Learning Center
486,Nativity Academy & Learning Center
487,Albany High School
488,Graceland Institute-Elc
489,Ginger Bread House Day Care
490,Southside Middle School
491,Whitney Center Head Start
492,Wee-Kare Day Care & Pre-School
493,Turner Job Corporation Head Start
494,Tee's Tiny Tots Learning Center I
495,Pediatria Healthcare Kids Child Care Center
496,Lippitt Center Head Start
497,Harvey Rd Head Start Child Care Center
498,Mt Zion Cdc Head Start
499,Spgs Little Citizens Learning
500,Children's Creative Learning Center
501,East Albany Christian Dcc
502,Whitney Head Start
503,Greene's Child Development Center
504,Katrina's Day Care
505,Fun Learning Dc
506,Sister/Sister Learning Center
507,Hansel & Gretel Dc & Lc 2
508,Positive Image Learning Center
509,Open Hearts & Minds Learning
510,New Birth Learning Center
511,Nativity Academy & Learning Center
512,Albany High School
513,Graceland Institute-Elc
514,Ginger Bread House Day Care
515,Southside Middle School
516,A School For Children
517,St. Teresa's School
518,Deerfield-Windsor School
519,Darsey Private School
520,New Covenant Academy
521,Albany Community Seventh Day
522,Bible Baptist Christian Academy
523,Sherwood Christian Academy
524,Byne Christian School
525,Albany Community SDA Church
526,New Beginning Christian School
527,Emanuel Sda Jr Academy
528,Best Buddies Day Care
529,Just Kids Day Care Center
530,Toddler Time Child Care
531,Candyman Day Care
532,Pre-School Academy
533,Edna Turner's Group Day Care
534,Mary's Learning Center
535,Mary's Day Care Center
536,Alma's Baby World Development Dcc
537,Smith's Day Care Center
538,Lamb Shelter Day Care Center
539,Loving Arms Day Care & Learning Center
540,Keda's Tender Kare
541,A School For Children
542,St. Teresa's School
543,Deerfield-Windsor School
544,Darsey Private School
545,New Covenant Academy
546,Albany Community Seventh Day
547,Bible Baptist Christian Academy
548,Sherwood Christian Academy
549,Byne Christian School
550,Albany Community SDA Church
551,New Beginning Christian School
552,Emanuel Sda Jr Academy
553,Best Buddies Day Care
554,Just Kids Day Care Center
555,Toddler Time Child Care
556,Candyman Day Care
557,Pre-School Academy
558,Edna Turner's Group Day Care
559,Mary's Learning Center
560,Mary's Day Care Center
561,Alma's Baby World Development Dcc
562,Smith's Day Care Center
563,Lamb Shelter Day Care Center
564,Loving Arms Day Care & Learning Center
565,Keda's Tender Kare
566,Greene's Child Development Center
567,Barbara's Day Care
568,Albany Ymca-Primetime
569,Children's Friend Learning Center #12
570,Turner Job Corps Child Development Center
571,Miss Jan's Nursery & Play School
572,Albany Tech College Child Development Center
573,Ninny's Day Care
574,Dare To Care Learning Center
575,Friendship Day Care North West
576,Children's Friend Learning Center #11
577,Sherwood Pre-School Academy
578,Romper Room Playschool
579,Wee Care Day Care
580,Fun Villa
581,Children's Friend Learning Center #9
582,Byne Mem Bapt Child Development Center
583,Tinker Bell's Learning Center
584,Melson Christian Day Care
585,Children's Friend Learning Center #16
586,Little Learners Academy
587,Fun Land Learning Center & DC
588,Twinkle Kiddie Nursery & Kindergarten
589,Jack and Jill Day Care & Kindergarten
590,Christ Day Care & Pre-SCHC
591,Greene's Child Development Center
592,Barbara's Day Care
593,Albany Ymca-Primetime
594,Children's Friend Learning Center #12
595,Turner Job Corps Child Development Center
596,Miss Jan's Nursery & Play School
597,Albany Tech College Child Development Center
598,Ninny's Day Care
599,Dare To Care Learning Center
600,Friendship Day Care North West
601,Children's Friend Learning Center #11
602,Sherwood Pre-School Academy
603,Romper Room Playschool
604,Wee Care Day Care
605,Fun Villa
606,Children's Friend Learning Center #9
607,Byne Mem Bapt Child Development Center
608,Tinker Bell's Learning Center
609,Melson Christian Day Care
610,Children's Friend Learning Center #16
611,Little Learners Academy
612,Fun Land Learning Center & DC
613,Twinkle Kiddie Nursery & Kindergarten
614,Jack and Jill Day Care & Kindergarten
615,Christ Day Care & Pre-SCHC
616,Third Kiokee Day Care Center
617,Far Horizons Montessori
618,South West Georgia Head Start
619,Friendship Childcare Learning Center
620,Baby World Development Day Care
621,Precious Hands Cdc Inc
622,Marine Corps Logistic Cdc
623,Family Tree Child Development Center
624,Fun L & Day Care & Learning Center
625,Third Kiokee Day Care Center
626,Far Horizons Montessori
627,South West Georgia Head Start
628,Friendship Childcare Learning Center
629,Baby World Development Day Care
630,Precious Hands Cdc Inc
631,Marine Corps Logistic Cdc
632,Family Tree Child Development Center
633,Fun L & Day Care & Learning Center
634,Kipp Tech Valley Charter School
635,Loudonville School
636,Southgate School
637,Saddlewood Elementary School
638,Montessori Magnet School
639,Shaker Road Elementary School
640,Veeder Elementary School
641,Brighter Choice Charter School for Girls
642,Westmere Elementary School
643,William S Hackett Middle School
644,Colonie Central High School
645,Sand Creek Middle School
646,Lisha Kill Middle School
647,Brighter Choice Charter School for Boys
648,Henry Johnson Charter School
649,Albany Community Charter School
650,Thomas S O Brien Academy Of Science And Tech
651,Roessleville School
652,Delaware Community School
653,New Scotland Elementary School
654,Albany School Of Humanities
655,Albany Leadership Charter High School For Girls
656,Forest Park Elementary School
657,Albany High School
658,Arbor Hill Elementary School
659,Kipp Tech Valley Charter School
660,Loudonville School
661,Southgate School
662,Saddlewood Elementary School
663,Montessori Magnet School
664,Shaker Road Elementary School
665,Veeder Elementary School
666,Brighter Choice Charter School for Girls
667,Westmere Elementary School
668,William S Hackett Middle School
669,Colonie Central High School
670,Sand Creek Middle School
671,Lisha Kill Middle School
672,Brighter Choice Charter School for Boys
673,Henry Johnson Charter School
674,Albany Community Charter School
675,Thomas S O Brien Academy Of Science And Tech
676,Roessleville School
677,Delaware Community School
678,New Scotland Elementary School
679,Albany School Of Humanities
680,Albany Leadership Charter High School For Girls
681,Forest Park Elementary School
682,Albany High School
683,Arbor Hill Elementary School
684,Green Tech High Charter School
685,Eagle Point Elementary School
686,Philip J Schuyler Achievement Academy
687,Stephen And Harriet Myers Middle School
688,Pine Hills Elementary School
689,North Albany Academy
690,Edmund J O'neal Middle Of Excellence
691,Sheridan Preparatory Academy
692,Giffen Memorial Elementary School
693,Albany Co Head Start
694,Pumpkin Patch Child Care
695,Wee Care At Labor Center
696,Maria College Campus School
697,Harriet Tubman Democratic High School
698,K12 International Academy
699,The Keystone School
700,Center Square School
701,Giffen Head Start Upk
702,Boys And Girls Clubs Of Albany
703,Abc 123 Day Care
704,Girls Aft/Sch Program
705,Homer Perkins Child Care Center-Trinity
706,Three Little Birds Day Care
707,Beginnings
708,College Of St Rose Pre-K
709,Green Tech High Charter School
710,Eagle Point Elementary School
711,Philip J Schuyler Achievement Academy
712,Stephen And Harriet Myers Middle School
713,Pine Hills Elementary School
714,North Albany Academy
715,Edmund J O'neal Middle Of Excellence
716,Sheridan Preparatory Academy
717,Giffen Memorial Elementary School
718,Albany Co Head Start
719,Pumpkin Patch Child Care
720,Wee Care At Labor Center
721,Maria College Campus School
722,Harriet Tubman Democratic High School
723,K12 International Academy
724,The Keystone School
725,Center Square School
726,Giffen Head Start Upk
727,Boys And Girls Clubs Of Albany
728,Abc 123 Day Care
729,Girls Aft/Sch Program
730,Homer Perkins Child Care Center-Trinity
731,Three Little Birds Day Care
732,Beginnings
733,College Of St Rose Pre-K
734,Shakendreland Child Care Center
735,Darlene's Open Arms Child Care Center
736,Child Community Child Care Center
737,Town Of Colonie Pre-K
738,Salvation Army Day Care
739,Life Kids Day Care
740,Little Blessings Child Care Center
741,Digi Academy Child Care Center-Learners
742,Mary's Little Lambs Day Care
743,Best Care Child Care Center
744,Boys & Girls Day Care-Albany
745,Albright Day Care
746,Tight Hugs Day Care
747,Building Blocks Child Care Center-Colonie
748,Kidz Club Day Care
749,Neighborhood Day Care
750,Nurturing Arms Day Care
751,Angel Blessings Child Care Center
752,Tc's Tots Day Care
753,Lambs Of God Day Care
754,Mrs Ann Day Care
755,Tnt Day Care
756,Your Child My Child Day Care
757,Tsl Day Care Center
758,Trinity Alliance Arbor Hl Child Care Center
759,Shakendreland Child Care Center
760,Darlene's Open Arms Child Care Center
761,Child Community Child Care Center
762,Town Of Colonie Pre-K
763,Salvation Army Day Care
764,Life Kids Day Care
765,Little Blessings Child Care Center
766,Digi Academy Child Care Center-Learners
767,Mary's Little Lambs Day Care
768,Best Care Child Care Center
769,Boys & Girls Day Care-Albany
770,Albright Day Care
771,Tight Hugs Day Care
772,Building Blocks Child Care Center-Colonie
773,Kidz Club Day Care
774,Neighborhood Day Care
775,Nurturing Arms Day Care
776,Angel Blessings Child Care Center
777,Tc's Tots Day Care
778,Lambs Of God Day Care
779,Mrs Ann Day Care
780,Tnt Day Care
781,Your Child My Child Day Care
782,Tsl Day Care Center
783,Trinity Alliance Arbor Hl Child Care Center
784,Kidz Gym Child Care Center
785,Infinite Care Child Care Center
786,St Pius X School
787,Mater Christi School
788,Bishop Maginn High School
789,Academy of The Holy Names
790,All Saints Catholic Academy
791,Christian Brothers Academy
792,Blessed Sacrament School
793,The Free School
794,Bet Shraga Hebrew Academy
795,Our Savior's Lutheran School
796,Loudonville Christian School
797,Maimonides Hebrew Day School
798,St Anne Institute
799,Pine Hills Montessori Daycare
800,St Matthew Lutheran School
801,Center for Disabilitie Services
802,St Catherine's Center For Children R & E May School
803,St. Matthew Lutheran School - Albany
804,Neil Hellman School/Parsons Child & Family Center
805,Albany Jcc
806,Pineview Community Ch Pre-School
807,Lasalle School
808,Albany Academies (The)
809,Kidz Gym Child Care Center
810,Infinite Care Child Care Center
811,St Pius X School
812,Mater Christi School
813,Bishop Maginn High School
814,Academy of The Holy Names
815,All Saints Catholic Academy
816,Christian Brothers Academy
817,Blessed Sacrament School
818,The Free School
819,Bet Shraga Hebrew Academy
820,Our Savior's Lutheran School
821,Loudonville Christian School
822,Maimonides Hebrew Day School
823,St Anne Institute
824,Pine Hills Montessori Daycare
825,St Matthew Lutheran School
826,Center for Disabilitie Services
827,St Catherine's Center For Children R & E May School
828,St. Matthew Lutheran School - Albany
829,Neil Hellman School/Parsons Child & Family Center
830,Albany Jcc
831,Pineview Community Ch Pre-School
832,Lasalle School
833,Albany Academies (The)
834,Children's Place Too-Crystal
835,Downtown Day Care Center
836,Congregation Ohav Shalom Nursery
837,Cong Ohav Shalom Nursery School
838,Campus Children's Center
839,Kiddie Academy Of Albany
840,Corporate Woods Children's Center
841,Boys & Girls Day Care-Albany
842,Duff's Family Day Care
843,Forest Meadows Funland Dc
844,Jojo Child Care Center
845,Spotted Zebra Learning Center
846,Toyland Day Nursery
847,Little Flower Daycare
848,Boys & Girls Clubs-Albany
849,Woodson School
850,Trinity Child Care at St. Pauls
851,Parkside Pre-School
852,Trinity Nursery & Day Care Center
853,Ernestina Dicioccio Dcc
854,Early Learning Center
855,Early Childhood Education Center
856,First Steps Day Care
857,Childtime Children's Center #030
858,Ann Klose Head Start
859,Children's Place Too-Crystal
860,Downtown Day Care Center
861,Congregation Ohav Shalom Nursery
862,Cong Ohav Shalom Nursery School
863,Campus Children's Center
864,Kiddie Academy Of Albany
865,Corporate Woods Children's Center
866,Boys & Girls Day Care-Albany
867,Duff's Family Day Care
868,Forest Meadows Funland Dc
869,Jojo Child Care Center
870,Spotted Zebra Learning Center
871,Toyland Day Nursery
872,Little Flower Daycare
873,Boys & Girls Clubs-Albany
874,Woodson School
875,Trinity Child Care at St. Pauls
876,Parkside Pre-School
877,Trinity Nursery & Day Care Center
878,Ernestina Dicioccio Dcc
879,Early Learning Center
880,Early Childhood Education Center
881,First Steps Day Care
882,Childtime Children's Center #030
883,Ann Klose Head Start
884,Mommy & Me Day Care
885,Miss Stacie's Place Dc
886,Mercy Cares For Kids
887,Clover Patch
888,Trinity Worship Christian Dc
889,Executive Wood Child Care Center
890,Ten Eyck Tykes
891,Albany New Public School 18 Child Care Center
892,Adventures In Day Care
893,Kids Too
894,Out of the Mouth's of Babes DC
895,Grow with Me Day Care
896,Little Treasures Day Care
897,Temple Israel Nursery School & Dc
898,North Albany Ymca Day Care
899,Tuned For Tots Day Care
900,Tendercare Child Center
901,Albany Medical Center Kidskeller
902,Kidskeller
903,Do Me A Favors Child Care
904,The Campus Children's Center
905,St Matthew's School
906,His Little Blessings Day Care
907,Arbor Park Child Care Center
908,Children's Corner Day Care Center
909,Mommy & Me Day Care
910,Miss Stacie's Place Dc
911,Mercy Cares For Kids
912,Clover Patch
913,Trinity Worship Christian Dc
914,Executive Wood Child Care Center
915,Ten Eyck Tykes
916,Albany New Public School 18 Child Care Center
917,Adventures In Day Care
918,Kids Too
919,Out of the Mouth's of Babes DC
920,Grow with Me Day Care
921,Little Treasures Day Care
922,Temple Israel Nursery School & Dc
923,North Albany Ymca Day Care
924,Tuned For Tots Day Care
925,Tendercare Child Center
926,Albany Medical Center Kidskeller
927,Kidskeller
928,Do Me A Favors Child Care
929,The Campus Children's Center
930,St Matthew's School
931,His Little Blessings Day Care
932,Arbor Park Child Care Center
933,Children's Corner Day Care Center
934,Children's Place At The Plaza
935,Children's Place At The Plaza
936,Oak Grove Intermediate School
937,North Albany Elementary School
938,West Albany High School
939,Liberty Elementary School
940,Central Elementary School
941,Oak Elementary School
942,Timber Ridge School
943,South Albany High School
944,Sunrise Elementary School
945,Waverly Elementary School
946,North Albany Middle School
947,Riverside High School
948,Lafayette Elementary School
949,South Shore Elementary School
950,Periwinkle Elementary School
951,Calapooia Middle School
952,Memorial Middle School
953,Fir Grove Primary School
954,Takena Elementary School
955,Clover Ridge Elementary School
956,St Mary Elementary School
957,Albany Christian School
958,Community Services Consortium
959,First United Methodist Early Learning Center
960,Albany Options School
961,Oak Grove Intermediate School
962,North Albany Elementary School
963,West Albany High School
964,Liberty Elementary School
965,Central Elementary School
966,Oak Elementary School
967,Timber Ridge School
968,South Albany High School
969,Sunrise Elementary School
970,Waverly Elementary School
971,North Albany Middle School
972,Riverside High School
973,Lafayette Elementary School
974,South Shore Elementary School
975,Periwinkle Elementary School
976,Calapooia Middle School
977,Memorial Middle School
978,Fir Grove Primary School
979,Takena Elementary School
980,Clover Ridge Elementary School
981,St Mary Elementary School
982,Albany Christian School
983,Community Services Consortium
984,First United Methodist Early Learning Center
985,Albany Options School
986,Montessori Sundborn Childrens House
987,Livingwater Christian Assembly
