,School,Score,Rating,Address
29,Nolley Elementary School,Above average,8/10,"6285 Renninger Rd, Akron, OH, 44319"
30,Bath Elementary School,Above average,8/10,"1246 North Cleveland Massillon Road, Akron, OH, 44333"
31,Akron Stem High School,Above average,7/10,"123 South Forge Street, Akron, OH, 44308"
32,Copley High School,Above average,7/10,"3807 Ridgewood Road, Akron, OH, 44321"
33,Turkeyfoot Elementary School,Above average,7/10,"3089 Manchester Road, Akron, OH, 44319"
34,Windemere Elementary School,Above average,7/10,"2283 Windemere Avenue, Akron, OH, 44312"
35,Coventry Middle School,Average,6/10,"3257 Cormany Road, Akron, OH, 44319"
36,Schrop Intermediate School,Average,6/10,"2215 Pickle Road, Akron, OH, 44312"
37,National Inventors Hall Of Fame School Center For,Average,6/10,"199 South Broadway Street, Akron, OH, 44308"
38,Judith A Resnik Community Learning Center,Average,5/10,"65 North Meadowcroft Drive, Akron, OH, 44313"
39,Firestone High School,Average,5/10,"470 Castle Blvd., Akron, OH, 44313"
40,Sam Salem Community Learning Center,Average,5/10,"1222 West Waterloo Road, Akron, OH, 44314"
41,Manchester High School,Average,5/10,"437 West Nimisila Road, Akron, OH, 44319"
42,Springfield High School,Average,5/10,"1880 Canton Road, Akron, OH, 44312"
43,Rimer Community Learning Center,Average,5/10,"2370 Manchester Road, Akron, OH, 44314"
44,Findley Community Learning Center,Below average,4/10,"65 West Tallmadge Avenue, Akron, OH, 44310"
45,Barber Community Learning Center,Below average,4/10,"665 Garry Road, Akron, OH, 44305"
46,Hatton Elementary School,Below average,4/10,"1933 Baker Avenue, Akron, OH, 44312"
47,Hill Community Learning Center,Below average,4/10,"1060 East Archwood Avenue, Akron, OH, 44306"
48,King Elementary School,Below average,4/10,"805 Memorial Parkway, Akron, OH, 44303"
49,Summit Academy Middle School-Akron,Below average,4/10,"464 South Hawkins Avenue, Akron, OH, 44320"
50,Betty Jane Community Learning Center,Below average,4/10,"444 Darrow Road, Akron, OH, 44305"
51,Litchfield Middle School,Below average,4/10,"470 Castle Boulevard, Akron, OH, 44313"
52,Mason Community Learning Center,Below average,4/10,"700 East Exchange Street, Akron, OH, 44306"
53,North High School,Below average,4/10,"985 Gorge Boulevard, Akron, OH, 44310"
54,Pfeiffer Elementary School,Below average,4/10,"2081 9th Street Southwest, Akron, OH, 44314"
55,Portage Path Community Learning Center,Below average,4/10,"55 South Portage Path, Akron, OH, 44303"
56,Helen Arnold Community Learning Center,Below average,4/10,"450 Vernon Odom Boulevard, Akron, OH, 44307"
57,Ritzman Community Learning Center,Below average,4/10,"629 Canton Road, Akron, OH, 44312"
58,Robinson Community Learning Center,Below average,4/10,"1156 4th Avenue, Akron, OH, 44306"
59,Seiberling Elementary School,Below average,4/10,"400 Brittain Road, Akron, OH, 44305"
60,Miller-South Visual Performing Arts,Below average,4/10,"1055 East Avenue, Akron, OH, 44307"
61,Akros Middle School,Below average,4/10,"265 Park Street, Akron, OH, 44304"
62,Greater Summit County Early Learning Center,Below average,4/10,"2141 Pickle Road, Akron, OH, 44312"
63,Akron Preparatory school,Below average,3/10,"1200 East Market Street, Akron, OH, 44305"
64,University Academy,Below average,3/10,"107 South Arlington Street, Akron, OH, 44306"
65,Main Street Academy,Below average,3/10,"1035 Clay Street, Akron, OH, 44301"
66,Imagine Leadership Academy,Below average,3/10,"2405 Romig Road, Akron, OH, 44320"
67,STEAM Academy of Akron,Below average,3/10,"1350 Virginia Avenue, Akron, OH, 44306"
68,Firestone Park Elementary School,Below average,3/10,"1479 Girard Street, Akron, OH, 44301"
69,Forest Hill Community Learning Center,Below average,3/10,"850 Damon Street, Akron, OH, 44310"
70,Glover Community Leanring Center,Below average,3/10,"935 Hammel Street, Akron, OH, 44306"
71,Harris Elementary School,Below average,3/10,"400 West Market Street, Akron, OH, 44303"
72,Summit Academy Community School For Alt Learners O,Below average,3/10,"2503 Leland Avenue, Akron, OH, 44312"
73,Hyre Middle School,Below average,3/10,"2385 Wedgewood Drive, Akron, OH, 44312"
74,Coventry High School,Below average,3/10,"1135 Portage Lakes Drive, Akron, OH, 44319"
75,Betty Jane Community Learning Center,Below average,4/10,"444 Darrow Road, Akron, OH, 44305"
76,Litchfield Middle School,Below average,4/10,"470 Castle Boulevard, Akron, OH, 44313"
77,Mason Community Learning Center,Below average,4/10,"700 East Exchange Street, Akron, OH, 44306"
78,North High School,Below average,4/10,"985 Gorge Boulevard, Akron, OH, 44310"
79,Pfeiffer Elementary School,Below average,4/10,"2081 9th Street Southwest, Akron, OH, 44314"
80,Portage Path Community Learning Center,Below average,4/10,"55 South Portage Path, Akron, OH, 44303"
81,Helen Arnold Community Learning Center,Below average,4/10,"450 Vernon Odom Boulevard, Akron, OH, 44307"
82,Ritzman Community Learning Center,Below average,4/10,"629 Canton Road, Akron, OH, 44312"
83,Robinson Community Learning Center,Below average,4/10,"1156 4th Avenue, Akron, OH, 44306"
84,Seiberling Elementary School,Below average,4/10,"400 Brittain Road, Akron, OH, 44305"
85,Miller-South Visual Performing Arts,Below average,4/10,"1055 East Avenue, Akron, OH, 44307"
86,Akros Middle School,Below average,4/10,"265 Park Street, Akron, OH, 44304"
87,Greater Summit County Early Learning Center,Below average,4/10,"2141 Pickle Road, Akron, OH, 44312"
88,Akron Preparatory school,Below average,3/10,"1200 East Market Street, Akron, OH, 44305"
89,University Academy,Below average,3/10,"107 South Arlington Street, Akron, OH, 44306"
90,Main Street Academy,Below average,3/10,"1035 Clay Street, Akron, OH, 44301"
91,Imagine Leadership Academy,Below average,3/10,"2405 Romig Road, Akron, OH, 44320"
92,STEAM Academy of Akron,Below average,3/10,"1350 Virginia Avenue, Akron, OH, 44306"
93,Firestone Park Elementary School,Below average,3/10,"1479 Girard Street, Akron, OH, 44301"
94,Forest Hill Community Learning Center,Below average,3/10,"850 Damon Street, Akron, OH, 44310"
95,Glover Community Leanring Center,Below average,3/10,"935 Hammel Street, Akron, OH, 44306"
96,Harris Elementary School,Below average,3/10,"400 West Market Street, Akron, OH, 44303"
97,Summit Academy Community School For Alt Learners O,Below average,3/10,"2503 Leland Avenue, Akron, OH, 44312"
98,Hyre Middle School,Below average,3/10,"2385 Wedgewood Drive, Akron, OH, 44312"
99,Coventry High School,Below average,3/10,"1135 Portage Lakes Drive, Akron, OH, 44319"
100,Roosevelt Elementary School,Below average,3/10,"660 Lessig Avenue, Akron, OH, 44312"
101,Innes Community Learning Center,Below average,3/10,"1999 East Avenue, Akron, OH, 44314"
102,Jennings Community Learning Center,Below average,3/10,"227 East Tallmadge Avenue, Akron, OH, 44310"
103,McEbright Elementary School,Below average,3/10,"349 Cole Avenue, Akron, OH, 44301"
104,Summit Academy Secondary - Akron,Below average,3/10,"464 South Hawkins Avenue, Akron, OH, 44320"
105,Schumacher Academy Elementary School,Below average,3/10,"1020 Hartford Avenue, Akron, OH, 44320"
106,Case Elementary School,Below average,3/10,"400 West Market Street, Akron, OH, 44303"
107,Voris Community Learning Center,Below average,3/10,"1885 Glenmount Avenue, Akron, OH, 44319"
108,Ellet High School,Below average,3/10,"309 Woolf Avenue, Akron, OH, 44312"
109,Steel Academy,Below average,2/10,"1570 Creighton Avenue, Akron, OH, 44310"
110,Hope Academy University,Below average,2/10,"88 Kent Street, Akron, OH, 44305"
111,Garfield High School,Below average,2/10,"435 North Firestone Boulevard, Akron, OH, 44301"
112,"Edge Academy, The",Below average,2/10,"92 North Union Street, Akron, OH, 44304"
113,Life Skills Center of Akron,Below average,2/10,"275 West Market Street, Akron, OH, 44303"
114,Young Elementary School,Below average,2/10,"3258 Nidover Drive, Akron, OH, 44312"
115,Leggett Community Learning Center,Below average,2/10,"333 East Thornton Street, Akron, OH, 44311"
116,Life Skills Center Of North Akron,Below average,2/10,"1458 Brittain Road, Akron, OH, 44310"
117,Buchtel High School,Below average,2/10,"1040 Copley Road, Akron, OH, 44320"
118,Crouse Community Learning Center,Below average,2/10,"1000 Diagonal Road, Akron, OH, 44320"
119,East Community Learning Center,Below average,1/10,"80 Brittain Road, Akron, OH, 44305"
120,Early Childhood Center,Currently unrated,3/10,"1361 W Market, Akron, OH, 44313"
121,Brightside Academy,Currently unrated,3/10,"1100 South Arlington Street, Akron, OH, 44306"
122,First Grace Amos Child Care Center,Currently unrated,3/10,"350 South Portage Path, Akron, OH, 44320"
123,All About Kids Day Care Center,Currently unrated,3/10,"792 East Waterloo Road, Akron, OH, 44306"
124,Joshua Child Care Center & Cdc West,Currently unrated,3/10,"1225 Vernon Odom Boulevard, Akron, OH, 44307"
125,Roosevelt Elementary School,Below average,3/10,"660 Lessig Avenue, Akron, OH, 44312"
126,Innes Community Learning Center,Below average,3/10,"1999 East Avenue, Akron, OH, 44314"
127,Jennings Community Learning Center,Below average,3/10,"227 East Tallmadge Avenue, Akron, OH, 44310"
128,McEbright Elementary School,Below average,3/10,"349 Cole Avenue, Akron, OH, 44301"
129,Summit Academy Secondary - Akron,Below average,2/10,"464 South Hawkins Avenue, Akron, OH, 44320"
130,Schumacher Academy Elementary School,Below average,2/10,"1020 Hartford Avenue, Akron, OH, 44320"
131,Case Elementary School,Below average,2/10,"400 West Market Street, Akron, OH, 44303"
132,Voris Community Learning Center,Below average,2/10,"1885 Glenmount Avenue, Akron, OH, 44319"
133,Ellet High School,Below average,2/10,"309 Woolf Avenue, Akron, OH, 44312"
134,Steel Academy,Below average,2/10,"1570 Creighton Avenue, Akron, OH, 44310"
135,Hope Academy University,Below average,2/10,"88 Kent Street, Akron, OH, 44305"
136,Garfield High School,Below average,2/10,"435 North Firestone Boulevard, Akron, OH, 44301"
137,"Edge Academy, The",Below average,2/10,"92 North Union Street, Akron, OH, 44304"
138,Life Skills Center of Akron,Below average,2/10,"275 West Market Street, Akron, OH, 44303"
139,Young Elementary School,Below average,1/10,"3258 Nidover Drive, Akron, OH, 44312"
140,Leggett Community Learning Center,Below average,10/10,"333 East Thornton Street, Akron, OH, 44311"
141,Life Skills Center Of North Akron,Below average,7/10,"1458 Brittain Road, Akron, OH, 44310"
142,Buchtel High School,Below average,6/10,"1040 Copley Road, Akron, OH, 44320"
143,Crouse Community Learning Center,Below average,5/10,"1000 Diagonal Road, Akron, OH, 44320"
144,East Community Learning Center,Below average,5/10,"80 Brittain Road, Akron, OH, 44305"
145,Early Childhood Center,Currently unrated,4/10,"1361 W Market, Akron, OH, 44313"
146,Brightside Academy,Currently unrated,4/10,"1100 South Arlington Street, Akron, OH, 44306"
147,First Grace Amos Child Care Center,Currently unrated,4/10,"350 South Portage Path, Akron, OH, 44320"
148,All About Kids Day Care Center,Currently unrated,4/10,"792 East Waterloo Road, Akron, OH, 44306"
149,Joshua Child Care Center & Cdc West,Currently unrated,3/10,"1225 Vernon Odom Boulevard, Akron, OH, 44307"
150,Wonder World Infant Dcc,Currently unrated,3/10,"1360 East Avenue, Akron, OH, 44307"
151,Little's Academy Child Care Center,Currently unrated,3/10,"594 West Market Street, Akron, OH, 44303"
152,Kid's Academy 2,Currently unrated,3/10,"1070 Hazel Street, Akron, OH, 44305"
153,Kinder Garden Montessori,Currently unrated,3/10,"1723 South Cleveland Massillon Road, Akron, OH, 44321"
154,Kindercare Learning Center-Fairlawn,Currently unrated,3/10,"4050 Embassy Parkway, Akron, OH, 44333"
155,Above & Beyond Early Cdc,Currently unrated,3/10,"135 East Cuyahoga Falls Avenue, Akron, OH, 44310"
156,Abacus Infant/Toddler Center,Currently unrated,2/10,"Po Box 7333, Akron, OH, 44306"
157,Here For You Cdc-Manchester,Currently unrated,2/10,"5625 Manchester Road, Akron, OH, 44319"
158,Firestone Park Br Ymca-Sacc Yo,Currently unrated,2/10,"3258 Nidover Drive, Akron, OH, 44312"
159,Kinder Care Learning Center #1677,Currently unrated,2/10,"3405 Massillon Road, Akron, OH, 44312"
160,Ymca Firestone Pk Child Care Center-Voris,Currently unrated,2/10,"209 South Main Street #501, Akron, OH, 44308"
161,Ymca After School Care-Hatton,Currently unrated,10/10,"209 South Main Street #501, Akron, OH, 44308"
162,Ymca Canal Sq Sacc-Betty Jan,Currently unrated,7/10,"209 South Main Street #501, Akron, OH, 44308"
163,Ymca Sacc-Forest Hill,Currently unrated,6/10,"601 Fouse Avenue, Akron, OH, 44310"
164,Arlington Cdc Head Start,Currently unrated,5/10,"539 South Arlington Street, Akron, OH, 44306"
165,Ellet Community Center,Currently unrated,5/10,"2449 Wedgewood Drive, Akron, OH, 44312"
166,Westminster Ymca Child Care,Currently unrated,4/10,"209 South Main Street #501, Akron, OH, 44308"
167,Waterloo Cdc,Currently unrated,4/10,"1205 East Waterloo Road, Akron, OH, 44306"
168,Mckinley Early Childhood Center,Currently unrated,4/10,"2529 Romig Road, Akron, OH, 44320"
169,Cedar Early Head Start,Currently unrated,4/10,"442 Bell Street, Akron, OH, 44307"
170,Firestone Park Ymca Family E,Currently unrated,3/10,"910 Eller Avenue, Akron, OH, 44306"
171,University Of Akron Head Start,Currently unrated,3/10,"108 Fir Hill, Akron, OH, 44325"
172,Infokids Early Learning Center,Currently unrated,3/10,"325 Springside Drive, Akron, OH, 44333"
173,Another Covering Cdc,Currently unrated,3/10,"2940 Wingate Avenue, Akron, OH, 44314"
174,Scope Pre-School Ii,Currently unrated,3/10,"2141 Pickle Road, Akron, OH, 44312"
175,Wonder World Infant Dcc,Currently unrated,3/10,"1360 East Avenue, Akron, OH, 44307"
176,Little's Academy Child Care Center,Currently unrated,3/10,"594 West Market Street, Akron, OH, 44303"
177,Kid's Academy 2,Currently unrated,2/10,"1070 Hazel Street, Akron, OH, 44305"
178,Kinder Garden Montessori,Currently unrated,2/10,"1723 South Cleveland Massillon Road, Akron, OH, 44321"
179,Kindercare Learning Center-Fairlawn,Currently unrated,2/10,"4050 Embassy Parkway, Akron, OH, 44333"
180,Above & Beyond Early Cdc,Currently unrated,2/10,"135 East Cuyahoga Falls Avenue, Akron, OH, 44310"
181,Abacus Infant/Toddler Center,Currently unrated,2/10,"Po Box 7333, Akron, OH, 44306"
182,Here For You Cdc-Manchester,Currently unrated,9/10,"5625 Manchester Road, Akron, OH, 44319"
183,Firestone Park Br Ymca-Sacc Yo,Currently unrated,8/10,"3258 Nidover Drive, Akron, OH, 44312"
184,Kinder Care Learning Center #1677,Currently unrated,8/10,"3405 Massillon Road, Akron, OH, 44312"
185,Ymca Firestone Pk Child Care Center-Voris,Currently unrated,8/10,"209 South Main Street #501, Akron, OH, 44308"
186,Ymca After School Care-Hatton,Currently unrated,7/10,"209 South Main Street #501, Akron, OH, 44308"
187,Ymca Canal Sq Sacc-Betty Jan,Currently unrated,7/10,"209 South Main Street #501, Akron, OH, 44308"
188,Ymca Sacc-Forest Hill,Currently unrated,7/10,"601 Fouse Avenue, Akron, OH, 44310"
189,Arlington Cdc Head Start,Currently unrated,7/10,"539 South Arlington Street, Akron, OH, 44306"
190,Ellet Community Center,Currently unrated,6/10,"2449 Wedgewood Drive, Akron, OH, 44312"
191,Westminster Ymca Child Care,Currently unrated,6/10,"209 South Main Street #501, Akron, OH, 44308"
192,Waterloo Cdc,Currently unrated,6/10,"1205 East Waterloo Road, Akron, OH, 44306"
193,Mckinley Early Childhood Center,Currently unrated,6/10,"2529 Romig Road, Akron, OH, 44320"
194,Cedar Early Head Start,Currently unrated,6/10,"442 Bell Street, Akron, OH, 44307"
195,Firestone Park Ymca Family E,Currently unrated,6/10,"910 Eller Avenue, Akron, OH, 44306"
196,University Of Akron Head Start,Currently unrated,6/10,"108 Fir Hill, Akron, OH, 44325"
197,Infokids Early Learning Center,Currently unrated,6/10,"325 Springside Drive, Akron, OH, 44333"
198,Another Covering Cdc,Currently unrated,5/10,"2940 Wingate Avenue, Akron, OH, 44314"
199,Scope Pre-School Ii,Currently unrated,5/10,"2141 Pickle Road, Akron, OH, 44312"
200,Nordonia Hills Ymca Day Care,Currently unrated,5/10,"209 South Main Street #501, Akron, OH, 44308"
201,Lake Anna Ymca Day Care,Currently unrated,4/10,"209 South Main Street, Akron, OH, 44308"
202,Ymca Sacc Pgrm-Highland,Currently unrated,4/10,"209 South Main Street #501, Akron, OH, 44308"
203,Green Family Ymca Dc-Green,Currently unrated,4/10,"209 South Main Street #501, Akron, OH, 44308"
204,Firestone Park Ymca Dc-Voris,Currently unrated,4/10,"1885 Glenmount Avenue, Akron, OH, 44319"
205,Early Learning Center-Belden,Currently unrated,4/10,"123 Bayview Terrace, Akron, OH, 44319"
206,Colonial Prep Academy,Currently unrated,4/10,"2199 5th Street Southwest, Akron, OH, 44314"
207,St Vincent-St Mary High School,Currently unrated,9/10,"15 North Maple Street, Akron, OH, 44303"
208,St Vincent Depaul Elementary School,Currently unrated,8/10,"17 South Maple Street, Akron, OH, 44303"
209,St. Francis DeSales School,Currently unrated,8/10,"4009 Manchester Road, Akron, OH, 44319"
210,St. Anthony of Padua Elementary School,Currently unrated,8/10,"80 E York St, Akron, OH, 44310"
211,Our Lady Of The Elms High School,Currently unrated,7/10,"1375 West Exchange Street, Akron, OH, 44313"
212,Our Lady Of The Elms Elementary School,Currently unrated,7/10,"1290 West Market Street, Akron, OH, 44313"
213,North Akron Catholic School,Currently unrated,7/10,"1570 Creighton Avenue, Akron, OH, 44310"
214,Archbishop Hoban High School,Currently unrated,7/10,"1 Holy Cross Boulevard, Akron, OH, 44306"
215,St Paul School,Currently unrated,6/10,"1580 Brown Street, Akron, OH, 44301"
216,St Matthew Parish School,Currently unrated,6/10,"2580 Benton Avenue, Akron, OH, 44312"
217,St. Mary School,Currently unrated,6/10,"750 South Main Street, Akron, OH, 44311"
218,The Lippman School,Currently unrated,6/10,"750 White Pond Drive, Akron, OH, 44320"
219,East Akron YMCA Phoenix Program,Currently unrated,6/10,"110 Goodyear Blvd, Akron, OH, 44305"
220,Arlington Christian Academy,Currently unrated,6/10,"539 South Arlington Street, Akron, OH, 44306"
221,Emmanuel Christian Academy,Currently unrated,6/10,"350 South Portage Path, Akron, OH, 44320"
222,Spring Garden Waldorf School,Currently unrated,6/10,"1791 Jacoby Road, Akron, OH, 44321"
223,Bettes Elementary School,Currently unrated,5/10,"1333 Betana Avenue, Akron, OH, 44310"
224,Chapel Hill Christian School-Green Campus,Currently unrated,5/10,"1639 Killian Rd, Akron, OH, 44312"
225,Nordonia Hills Ymca Day Care,Currently unrated,5/10,"209 South Main Street #501, Akron, OH, 44308"
226,Lake Anna Ymca Day Care,Currently unrated,4/10,"209 South Main Street, Akron, OH, 44308"
227,Ymca Sacc Pgrm-Highland,Currently unrated,4/10,"209 South Main Street #501, Akron, OH, 44308"
228,Green Family Ymca Dc-Green,Currently unrated,4/10,"209 South Main Street #501, Akron, OH, 44308"
229,Firestone Park Ymca Dc-Voris,Currently unrated,4/10,"1885 Glenmount Avenue, Akron, OH, 44319"
230,Early Learning Center-Belden,Currently unrated,4/10,"123 Bayview Terrace, Akron, OH, 44319"
231,Colonial Prep Academy,Currently unrated,4/10,"2199 5th Street Southwest, Akron, OH, 44314"
232,St Vincent-St Mary High School,Currently unrated,3/10,"15 North Maple Street, Akron, OH, 44303"
233,St Vincent Depaul Elementary School,Currently unrated,2/10,"17 South Maple Street, Akron, OH, 44303"
234,St. Francis DeSales School,Currently unrated,2/10,"4009 Manchester Road, Akron, OH, 44319"
235,St. Anthony of Padua Elementary School,Currently unrated,2/10,"80 E York St, Akron, OH, 44310"
236,Our Lady Of The Elms High School,Currently unrated,2/10,"1375 West Exchange Street, Akron, OH, 44313"
237,Our Lady Of The Elms Elementary School,Currently unrated,1/10,"1290 West Market Street, Akron, OH, 44313"
238,North Akron Catholic School,Currently unrated,1/10,"1570 Creighton Avenue, Akron, OH, 44310"
239,Archbishop Hoban High School,Currently unrated,1/10,"1 Holy Cross Boulevard, Akron, OH, 44306"
240,St Paul School,Currently unrated,1/10,"1580 Brown Street, Akron, OH, 44301"
241,St Matthew Parish School,Currently unrated,3/10,"2580 Benton Avenue, Akron, OH, 44312"
242,St. Mary School,Currently unrated,2/10,"750 South Main Street, Akron, OH, 44311"
243,The Lippman School,Currently unrated,2/10,"750 White Pond Drive, Akron, OH, 44320"
244,East Akron YMCA Phoenix Program,Currently unrated,2/10,"110 Goodyear Blvd, Akron, OH, 44305"
245,Arlington Christian Academy,Currently unrated,2/10,"539 South Arlington Street, Akron, OH, 44306"
246,Emmanuel Christian Academy,Currently unrated,1/10,"350 South Portage Path, Akron, OH, 44320"
247,Spring Garden Waldorf School,Currently unrated,1/10,"1791 Jacoby Road, Akron, OH, 44321"
248,Bettes Elementary School,Currently unrated,1/10,"1333 Betana Avenue, Akron, OH, 44310"
249,Chapel Hill Christian School-Green Campus,Currently unrated,1/10,"1639 Killian Rd, Akron, OH, 44312"
250,Kenmore High School,Currently unrated,9/10,"2140 13th Street Southwest, Akron, OH, 44314"
251,Kent Middle School,Currently unrated,8/10,"1445 Hammel Street, Akron, OH, 44306"
252,Akron Digital Academy,Currently unrated,8/10,"133 Merriman Road, Akron, OH, 44303"
253,Color Our Rainbow Academy,Currently unrated,7/10,"1430 Goodyear Blvd, Akron, OH, 44305"
254,Kid's Country,Currently unrated,6/10,"2955 Smith Road, Akron, OH, 44333"
255,Bridges Learning Center,Currently unrated,6/10,"888 Jonathan Avenue, Akron, OH, 44306"
256,Akron Alternative Academy,Currently unrated,6/10,"77 West Thornton Street, Akron, OH, 44311"
257,Bath Academy of Early Childhood,Currently unrated,5/10,"752 Ghent Road, Akron, OH, 44333"
258,Our Lady of the Elms Preschool,Currently unrated,4/10,"1295 W Exchange St, Akron, OH, 44313"
259,North Hill Ymca Child Care Center,Currently unrated,4/10,"209 South Main Street #501, Akron, OH, 44308"
260,Kandy Kane Christian Dcc,Currently unrated,4/10,"Po Box 3395, Akron, OH, 44309"
261,Kandy Kane Christian Day Care,Currently unrated,3/10,"1010 S Hopkins, Akron, OH, 44320"
262,The Goddard School - Akron,Currently unrated,3/10,"105 Springside Dr, Akron, OH, 44333"
263,Salvation Army Akron Child Care Center,Currently unrated,3/10,"1104 Johnston St, Akron, OH, 44305"
264,Ymca Child Care,Currently unrated,3/10,"50 S Main St Ste Ll100, Akron, OH, 44308"
265,Oakcreek Head Start,Currently unrated,3/10,"1335 Massillon Road, Akron, OH, 44306"
266,Salvation Army Learning Zone Child Care Center,Currently unrated,2/10,"190 S Maple St, Akron, OH, 44302"
267,St. Paul Hillwood Head Start Center,Currently unrated,9/10,"1350 Virginia Ave, Akron, OH, 44306"
268,Saint Paul's Nursery School,Currently unrated,8/10,"1361 W Market St, Akron, OH, 44313"
269,Kid's University Pre-School & Dcc,Currently unrated,8/10,"1407 Malasia Road, Akron, OH, 44305"
270,A Beautiful Child's Pre-School,Currently unrated,7/10,"1449 Brittain Road, Akron, OH, 44310"
271,Savory Care Child Care Center,Currently unrated,6/10,"150 Wayne Ave, Akron, OH, 44301"
272,United Methodist Nursery School,Currently unrated,6/10,"1536 Flickinger Rd, Akron, OH, 44312"
273,Lakemore United Methodist Pre-School,Currently unrated,6/10,"1536 Flickinger Road, Akron, OH, 44312"
274,Henry Center for Child Care,Currently unrated,5/10,"161 N Forge St, Akron, OH, 44304"
275,Kenmore High School,Currently unrated,4/10,"2140 13th Street Southwest, Akron, OH, 44314"
276,Kent Middle School,Currently unrated,4/10,"1445 Hammel Street, Akron, OH, 44306"
277,Akron Digital Academy,Currently unrated,4/10,"133 Merriman Road, Akron, OH, 44303"
278,Color Our Rainbow Academy,Currently unrated,3/10,"1430 Goodyear Blvd, Akron, OH, 44305"
279,Kid's Country,Currently unrated,3/10,"2955 Smith Road, Akron, OH, 44333"
280,Bridges Learning Center,Currently unrated,3/10,"888 Jonathan Avenue, Akron, OH, 44306"
281,Akron Alternative Academy,Currently unrated,3/10,"77 West Thornton Street, Akron, OH, 44311"
282,Bath Academy of Early Childhood,Currently unrated,3/10,"752 Ghent Road, Akron, OH, 44333"
283,Our Lady of the Elms Preschool,Currently unrated,2/10,"1295 W Exchange St, Akron, OH, 44313"
284,North Hill Ymca Child Care Center,Currently unrated,10/10,"209 South Main Street #501, Akron, OH, 44308"
285,Kandy Kane Christian Dcc,Currently unrated,10/10,"Po Box 3395, Akron, OH, 44309"
286,Kandy Kane Christian Day Care,Currently unrated,10/10,"1010 S Hopkins, Akron, OH, 44320"
287,The Goddard School - Akron,Currently unrated,9/10,"105 Springside Dr, Akron, OH, 44333"
288,Salvation Army Akron Child Care Center,Currently unrated,9/10,"1104 Johnston St, Akron, OH, 44305"
289,Ymca Child Care,Currently unrated,9/10,"50 S Main St Ste Ll100, Akron, OH, 44308"
290,Oakcreek Head Start,Currently unrated,9/10,"1335 Massillon Road, Akron, OH, 44306"
291,Salvation Army Learning Zone Child Care Center,Currently unrated,9/10,"190 S Maple St, Akron, OH, 44302"
292,St. Paul Hillwood Head Start Center,Currently unrated,9/10,"1350 Virginia Ave, Akron, OH, 44306"
293,Saint Paul's Nursery School,Currently unrated,9/10,"1361 W Market St, Akron, OH, 44313"
294,Kid's University Pre-School & Dcc,Currently unrated,9/10,"1407 Malasia Road, Akron, OH, 44305"
295,A Beautiful Child's Pre-School,Currently unrated,8/10,"1449 Brittain Road, Akron, OH, 44310"
296,Savory Care Child Care Center,Currently unrated,8/10,"150 Wayne Ave, Akron, OH, 44301"
