,School,Type,Grades,Total students enrolled,Students per teacher,Reviews,District
8,"4/10Below averageMerry Acres Middle School1601 Florence Drive, Albany, GA, 31707 Homes for sale",Public district,6-8,685.0,12:1,8 reviews,Dougherty County School District
9,"3/10Below averageLive Oak Elementary School4529 Gillionville Road, Albany, GA, 31721 Homes for sale",Public district,PK-5,667.0,20:1,1 review,Dougherty County School District
10,"3/10Below averageMonroe High School900 Lippitt Dr, Albany, GA, 31701 Homes for sale",Public district,9-12,1189.0,19:1,1 review,Dougherty County School District
11,"3/10Below averageMorningside Elementary School120 Sunset Lane, Albany, GA, 31705 Homes for sale",Public district,PK-5,420.0,15:1,1 review,Dougherty County School District
12,"3/10Below averageDougherty Comprehensive High School1800 Pearce Avenue, Albany, GA, 31705 Homes for sale",Public district,9-12,1226.0,20:1,10 reviews,Dougherty County School District
13,"3/10Below averageAlbany Middle School1700 Cordell Avenue, Albany, GA, 31705 Homes for sale",Public district,6-8,988.0,18:1,4 reviews,Dougherty County School District
14,"3/10Below averageWest Town Elementary School1113 University Street, Albany, GA, 31707 Homes for sale",Public district,PK-5,450.0,13:1,1 review,Dougherty County School District
15,"3/10Below averageTurner Elementary School2001 Leonard Avenue, Albany, GA, 31705 Homes for sale",Public district,PK-5,486.0,15:1,1 review,Dougherty County School District
16,"2/10Below averageAlice Coachman Elementary School1425 West Oakridge Drive, Albany, GA, 31721 Homes for sale",Public district,PK-5,499.0,16:1,2 reviews,Dougherty County School District
17,"2/10Below averageMartin Luther King- Jr. Elementary School3125 Martin Luther King Junior Drive, Albany, GA, 31701 Homes for sale",Public district,PK-5,614.0,18:1,No reviews yet,Dougherty County School District
18,"2/10Below averageRadium Springs Middle School2600 Radium Springs Road, Albany, GA, 31705 Homes for sale",Public district,6-8,779.0,12:1,No reviews yet,Dougherty County School District
19,"2/10Below averageJackson Heights Elementary School1305 East 2nd Avenue, Albany, GA, 31705 Homes for sale",Public district,PK-5,701.0,16:1,No reviews yet,Dougherty County School District
20,"2/10Below averageNorthside Elementary School901 14th Avenue, Albany, GA, 31701 Homes for sale",Public district,PK-5,410.0,15:1,2 reviews,Dougherty County School District
21,"Currently unratedSt. Teresa's School417 Edgewood Lane, Albany, GA, 31707 Homes for sale",Private,PK-8,110.0,,34 reviews,
22,"Currently unratedDeerfield-Windsor SchoolPo Box 71149, Albany, GA, 31708 Homes for sale",Private,PK-12,727.0,,5 reviews,
23,"Currently unratedDarsey Private School1201 W Oglethorpe Ave, Albany, GA, 31707 Homes for sale",Private,9-12,,,2 reviews,
24,"Currently unratedNew Covenant Academy1510 W Broad Avenue, Albany, GA, 31707 Homes for sale",Private,7-11,,,1 review,
0,"9/10Above averageKipp Tech Valley Charter School321 Northern Boulevard, Albany, NY, 12210 Homes for sale",Public charter,"K-1, 5-8",492.0,15:1,6 reviews,
1,"8/10Above averageLoudonville School349 Osborne Road, Albany, NY, 12211 Homes for sale",Public district,K-6,306.0,13:1,1 review,North Colonie Central School District
2,"8/10Above averageSouthgate School30 Southgate Road, Albany, NY, 12211 Homes for sale",Public district,K-6,410.0,11:1,2 reviews,North Colonie Central School District
3,"8/10Above averageSaddlewood Elementary School100 Loralee Drive, Albany, NY, 12205 Homes for sale",Public district,PK-4,390.0,13:1,2 reviews,South Colonie Central School District
4,"7/10Above averageMontessori Magnet School45 Tremont Street, Albany, NY, 12205 Homes for sale",Public district,PK-5,330.0,17:1,8 reviews,Albany City School District
5,"7/10Above averageShaker Road Elementary School512 Albany Shaker Road, Albany, NY, 12211 Homes for sale",Public district,K-4,358.0,13:1,5 reviews,South Colonie Central School District
6,"7/10Above averageVeeder Elementary School25 Veeder Drive, Albany, NY, 12205 Homes for sale",Public district,K-4,422.0,12:1,2 reviews,South Colonie Central School District
7,"7/10Above averageBrighter Choice Charter School for Girls250 Central Avenue, Albany, NY, 12206 Homes for sale",Public charter,K-5,338.0,10:1,3 reviews,
8,"6/10AverageWestmere Elementary School6270 Johnston Road, Albany, NY, 12203 Homes for sale",Public district,K-5,495.0,11:1,5 reviews,Guilderland Central School District
9,"6/10AverageWilliam S Hackett Middle School45 Delaware Avenue, Albany, NY, 12202 Homes for sale",Public district,6-8,676.0,10:1,7 reviews,Albany City School District
10,"6/10AverageColonie Central High School1 Raider Boulevard, Albany, NY, 12205 Homes for sale",Public district,9-12,1530.0,11:1,8 reviews,South Colonie Central School District
11,"6/10AverageSand Creek Middle School329 Sand Creek Road, Albany, NY, 12205 Homes for sale",Public district,5-8,825.0,10:1,4 reviews,South Colonie Central School District
12,"6/10AverageLisha Kill Middle School68 Waterman Avenue, Albany, NY, 12205 Homes for sale",Public district,5-8,619.0,11:1,7 reviews,South Colonie Central School District
13,"6/10AverageBrighter Choice Charter School for Boys116 North Lake Avenue, Albany, NY, 12206 Homes for sale",Public charter,K-5,319.0,12:1,7 reviews,
14,"6/10AverageHenry Johnson Charter School30 Watervliet Avenue, Albany, NY, 12206 Homes for sale",Public charter,K-4,365.0,11:1,1 review,
15,"6/10AverageAlbany Community Charter School65 Krank Street, Albany, NY, 12202 Homes for sale",Public charter,K-8,681.0,19:1,7 reviews,
16,"5/10AverageThomas S O Brien Academy Of Science And Tech94 Delaware Avenue, Albany, NY, 12202 Homes for sale",Public district,K-6,437.0,18:1,2 reviews,Albany City School District
17,"5/10AverageRoessleville School100 California Avenue, Albany, NY, 12205 Homes for sale",Public district,PK-4,408.0,15:1,2 reviews,South Colonie Central School District
18,"5/10AverageDelaware Community School43 Bertha Street, Albany, NY, 12209 Homes for sale",Public district,PK-5,418.0,18:1,7 reviews,Albany City School District
19,"4/10Below averageNew Scotland Elementary School385 New Scotland Avenue, Albany, NY, 12208 Homes for sale",Public district,K-5,501.0,10:1,4 reviews,Albany City School District
20,"4/10Below averageAlbany School Of Humanities108 Whitehall Road, Albany, NY, 12209 Homes for sale",Public district,K-6,504.0,20:1,No reviews yet,Albany City School District
21,"4/10Below averageAlbany Leadership Charter High School For Girls19 Hackett Boulevard, Albany, NY, 12208 Homes for sale",Public charter,9-12,360.0,11:1,3 reviews,
22,"4/10Below averageForest Park Elementary School100 Forest Drive, Albany, NY, 12205 Homes for sale",Public district,K-4,279.0,9:1,3 reviews,South Colonie Central School District
23,"4/10Below averageAlbany High School700 Washington Avenue, Albany, NY, 12203 Homes for sale",Public district,9-12,2624.0,15:1,4 reviews,Albany City School District
24,"4/10Below averageArbor Hill Elementary School1 Arbor Drive, Albany, NY, 12207 Homes for sale",Public district,K-5,314.0,17:1,3 reviews,Albany City School District
0,"9/10Above averageOak Grove Intermediate School1500 Northwest Oak Grove Drive, Albany, OR, 97321 Homes for sale",Public district,2-5,280.0,23:1,2 reviews,Greater Albany Public School District 8j
1,"8/10Above averageWest Albany High School1130 Southwest Queen Avenue, Albany, OR, 97321 Homes for sale",Public district,9-12,1346.0,23:1,7 reviews,Greater Albany Public School District 8j
2,"8/10Above averageNorth Albany Elementary School815 Northwest East Thornton Lake Drive, Albany, OR, 97321 Homes for sale",Public district,K-5,268.0,21:1,4 reviews,Greater Albany Public School District 8j
3,"7/10Above averageLiberty Elementary School2345 Southwest Liberty Street, Albany, OR, 97321 Homes for sale",Public district,K-5,335.0,21:1,1 review,Greater Albany Public School District 8j
4,"6/10AverageTimber Ridge School373 Timber Ridge Street Northeast, Albany, OR, 97322 Homes for sale",Public district,3-8,745.0,21:1,No reviews yet,Greater Albany Public School District 8j
5,"6/10AverageCentral Elementary School336 Southwest 9th Avenue, Albany, OR, 97321 Homes for sale",Public district,3-5,166.0,20:1,3 reviews,Greater Albany Public School District 8j
6,"6/10AverageOak Elementary School3610 Oak Street Southeast, Albany, OR, 97321 Homes for sale",Public district,K-5,334.0,22:1,7 reviews,Greater Albany Public School District 8j
7,"5/10AverageSouth Albany High School3705 Southeast Columbus Street, Albany, OR, 97322 Homes for sale",Public district,9-12,1391.0,22:1,4 reviews,Greater Albany Public School District 8j
8,"4/10Below averageSunrise Elementary School730 Southeast 19th Avenue, Albany, OR, 97322 Homes for sale",Public district,K-5,382.0,17:1,4 reviews,Greater Albany Public School District 8j
9,"4/10Below averageWaverly Elementary School425 Southeast Columbus Street, Albany, OR, 97322 Homes for sale",Public district,K-5,260.0,13:1,1 review,Greater Albany Public School District 8j
10,"4/10Below averageNorth Albany Middle School1205 Northwest North Albany Road, Albany, OR, 97321 Homes for sale",Public district,6-8,608.0,20:1,2 reviews,Greater Albany Public School District 8j
11,"3/10Below averageRiverside High School4400 Lochner Road Southeast, Albany, OR, 97322 Homes for sale",Public district,10-12,7.0,,No reviews yet,Ode Ycep District
12,"3/10Below averageLafayette Elementary School3122 Southeast Madison Street, Albany, OR, 97322 Homes for sale",Public district,K-5,328.0,18:1,4 reviews,Greater Albany Public School District 8j
13,"3/10Below averageSouth Shore Elementary School910 Bain Street Southeast, Albany, OR, 97322 Homes for sale",Public district,K-5,417.0,17:1,2 reviews,Greater Albany Public School District 8j
14,"3/10Below averagePeriwinkle Elementary School2196 21st Avenue Southeast, Albany, OR, 97322 Homes for sale",Public district,K-5,440.0,20:1,1 review,Greater Albany Public School District 8j
15,"3/10Below averageCalapooia Middle School830 Southeast 24th Avenue, Albany, OR, 97322 Homes for sale",Public district,6-8,554.0,21:1,6 reviews,Greater Albany Public School District 8j
16,"2/10Below averageMemorial Middle School1050 Southwest Queen Avenue, Albany, OR, 97321 Homes for sale",Public district,6-8,604.0,20:1,4 reviews,Greater Albany Public School District 8j
17,"Currently unratedSt Mary Elementary School815 Broadalbin Street Southwest, Albany, OR, 97321 Homes for sale",Private,PK-8,95.0,,1 review,
18,"Currently unratedAlbany Christian School420 Southeast 3rd Avenue, Albany, OR, 97321 Homes for sale",Private,PK-8,261.0,,4 reviews,
19,"Currently unratedCommunity Services Consortium250 Broadalbin Street SW, Albany, OR, 97321 Homes for sale",Private,9-12,,,No reviews yet,
20,"Currently unratedFirst United Methodist Early Learning Center1115 28th Avenue Southwest, Albany, OR, 97321 Homes for sale",Private,PK-K,50.0,,No reviews yet,
21,"Currently unratedAlbany Options School701 Southeast 19th Avenue, Albany, OR, 97322 Homes for sale",Public district,9-12,168.0,44:1,No reviews yet,Greater Albany Public School District 8j
22,"Currently unratedMontessori Sundborn Childrens House1015 Southeast 7th Avenue, Albany, OR, 97321 Homes for sale",Private,PK-1 & Ungraded,25.0,,1 review,
23,"Currently unratedLivingwater Christian Assembly1099 Queen Avenue SW, Albany, OR, 97321 Homes for sale",Private,K-11,,,No reviews yet,
24,"Currently unratedLinn-Benton Comm College Family Resource Center6500 Pacific Blvd SW, Albany, OR, 97321 Homes for sale",Private,K,,,No reviews yet,
0,"10/10Top ratedS. Y. Jackson Elementary School4720 Cairo Drive Northeast, Albuquerque, NM, 87111 Homes for sale",Public district,K-5,556.0,16:1,20 reviews,Albuquerque Public Schools
1,"10/10Top ratedHubert H Humphrey Elementary School9801 Academy Hills Dr Ne, Albuquerque, NM, 87111 Homes for sale",Public district,PK-5,461.0,17:1,17 reviews,Albuquerque Public Schools
2,"10/10Top ratedCollege and Career High School900 University Boulevard Southeast, Albuquerque, NM, 87106 Homes for sale",Public district,9-12,160.0,15:1,No reviews yet,Albuquerque Public Schools
3,"9/10Above averageAlbuquerque Institute Of Math & Science933 Bradbury Drive Southeast, Albuquerque, NM, 87106 Homes for sale",Public charter,6-12,367.0,18:1,3 reviews,Albuquerque Institute Of Math & Science
4,"9/10Above averageThe Family School3000 Adams Street Northeast, Albuquerque, NM, 87110 Homes for sale",Public district,K-8,297.0,20:1,20 reviews,Albuquerque Public Schools
5,"9/10Above averageGeorgia O'keeffe Elementary School1701 San Victorio Av Ne, Albuquerque, NM, 87111 Homes for sale",Public district,K-5,692.0,17:1,20 reviews,Albuquerque Public Schools
6,"9/10Above averageDouble Eagle Elementary School8901 Lowell Drive Northeast, Albuquerque, NM, 87122 Homes for sale",Public district,PK-5,551.0,17:1,46 reviews,Albuquerque Public Schools
7,"9/10Above averageDesert Ridge Middle School8400 Barstow Street Northeast, Albuquerque, NM, 87122 Homes for sale",Public district,6-8,1011.0,16:1,10 reviews,Albuquerque Public Schools
8,"9/10Above averageNorth Star Elementary School9301 Ventura Street Northeast, Albuquerque, NM, 87122 Homes for sale",Public district,K-5,640.0,17:1,14 reviews,Albuquerque Public Schools
9,"9/10Above averageCottonwood Classical Prep7801 Jefferson Street Northeast, Albuquerque, NM, 87109 Homes for sale",Public charter,6-12,734.0,16:1,39 reviews,Cottonwood Classical Prep
10,"9/10Above averageEisenhower Middle School11001 Camero Avenue Northeast, Albuquerque, NM, 87111 Homes for sale",Public district,6-8,841.0,17:1,20 reviews,Albuquerque Public Schools
11,"8/10Above averageOnate Elementary School12415 Brentwood Hills Boulevard Northeast, Albuquerque, NM, 87112 Homes for sale",Public district,PK-5,244.0,14:1,6 reviews,Albuquerque Public Schools
12,"8/10Above averagePublic Academy For Performing Arts11800 Princess Jeanne Ave NE , Albuquerque, NM, 87112 Homes for sale",Public charter,6-12,380.0,14:1,12 reviews,Albuquerque Public Schools
13,"8/10Above averageDennis Chavez Elementary School7500 Barstow Street Northeast, Albuquerque, NM, 87109 Homes for sale",Public district,PK-5,577.0,13:1,3 reviews,Albuquerque Public Schools
14,"8/10Above averageLa Cueva High School7801 Wilshire Avenue Northeast, Albuquerque, NM, 87122 Homes for sale",Public district,9-12,1755.0,19:1,11 reviews,Albuquerque Public Schools
15,"8/10Above averageTierra Antigua Elementary School8121 Rainbow Boulevard Northwest, Albuquerque, NM, 87114 Homes for sale",Public district,K-5,925.0,18:1,14 reviews,Albuquerque Public Schools
16,"8/10Above averageNex Gen Academy5323 Montgomery Boulevard Northeast, Albuquerque, NM, 87109 Homes for sale",Public district,9-12,337.0,14:1,7 reviews,Albuquerque Public Schools
17,"8/10Above averageExplore Academy5100 Masthead St NE , Albuquerque, NM, 87109 Homes for sale",Public charter,6-12,233.0,8:1,1 review,Explore Academy
18,"7/10Above averageAmy Biehl Charter High School123 4th Street Southwest, Albuquerque, NM, 87102 Homes for sale",Public charter,9-12,291.0,14:1,9 reviews,Amy Biehl Charter High School
19,"7/10Above averageTwenty-First Century4300 Cutler Avenue NE, Albuquerque, NM, 87109 Homes for sale",Public charter,5-8,241.0,14:1,8 reviews,Albuquerque Public Schools
20,"7/10Above averageOsuna Elementary School4715 Moon Street Northeast, Albuquerque, NM, 87111 Homes for sale",Public district,K-5,535.0,16:1,10 reviews,Albuquerque Public Schools
21,"7/10Above averageSandia High School7801 Candelaria Road Northeast, Albuquerque, NM, 87110 Homes for sale",Public district,9-12,1733.0,17:1,8 reviews,Albuquerque Public Schools
22,"7/10Above averageMontessori Of The Rio Grande1650 Gabaldon Drive Northwest, Albuquerque, NM, 87104 Homes for sale",Public charter,K-6,217.0,20:1,5 reviews,Albuquerque Public Schools
23,"7/10Above averageVentana Ranch Elementary School6801 Ventana Rd Nw, Albuquerque, NM, 87114 Homes for sale",Public district,K-5,766.0,18:1,8 reviews,Albuquerque Public Schools
24,"7/10Above averageMontessori Elementary School1730 Montaño Road Northwest, Albuquerque, NM, 87107 Homes for sale",Public charter,K-8,421.0,19:1,25 reviews,Montessori Elementary School
0,"8/10Above averagePhoenix Magnet Elementary School4500 Lincoln Road, Alexandria, LA, 71302 Homes for sale",Public district,PK-6,528.0,17:1,10 reviews,Rapides Parish School District
1,"8/10Above averagePeabody Montessori Elementary School2416 3rd Street, Alexandria, LA, 71302 Homes for sale",Public district,PK-6,468.0,16:1,6 reviews,Rapides Parish School District
2,"7/10Above averageAlexandria Senior High School2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Louisiana800 Ola Street, Alexandria, LA, 71303 Homes for sale",Public district,9-12,1319.0,18:1,4 reviews,Rapides Parish School District
3,"7/10Above averageScott M. Brame Middle School4800 Dawn Street, Alexandria, LA, 71301 Homes for sale",Public district,6-8,845.0,16:1,10 reviews,Rapides Parish School District
4,"7/10Above averageCherokee Elementary School5700 Prescott Road, Alexandria, LA, 71301 Homes for sale",Public district,PK-5,563.0,15:1,2 reviews,Rapides Parish School District
5,"7/10Above averagePoland Junior High School3348 Louisiana 457, Alexandria, LA, 71302 Homes for sale",Public district,PK-8,383.0,16:1,4 reviews,Rapides Parish School District
6,"6/10AverageHorseshoe Drive Elementary New Vision Academy2905 Horseshoe Drive, Alexandria, LA, 71301 Homes for sale",Public district,PK-5,276.0,9:1,1 review,Rapides Parish School District
7,"6/10AverageJ.B. Nachman Elementary School4102 Wakefield Boulevard, Alexandria, LA, 71303 Homes for sale",Public district,PK-5,574.0,16:1,8 reviews,Rapides Parish School District
8,"6/10AverageW.O. Hall Elementary School3111 Jones Avenue, Alexandria, LA, 71302 Homes for sale",Public district,PK-5,179.0,14:1,2 reviews,Rapides Parish School District
9,"6/10AverageAlma Redwine Elementary New Vision Academy1323 Vance Avenue, Alexandria, LA, 71301 Homes for sale",Public district,PK-6,226.0,11:1,1 review,Rapides Parish School District
10,"5/10AverageJulius Patrick Elementary School1402 Reed Avenue, Alexandria, LA, 71301 Homes for sale",Public district,PK-5,262.0,11:1,1 review,Rapides Parish School District
11,"5/10AverageRosenthal Montessori Elementary School1951 Monroe Street, Alexandria, LA, 71301 Homes for sale",Public district,PK-6,387.0,16:1,3 reviews,Rapides Parish School District
12,"4/10Below averageAlexandria Middle Magnet School122 Maryland Avenue, Alexandria, LA, 71301 Homes for sale",Public district,6-8,544.0,16:1,8 reviews,Rapides Parish School District
13,"4/10Below averageBolton High School2101 Vance Avenue, Alexandria, LA, 71301 Homes for sale",Public district,9-12,638.0,13:1,1 review,Rapides Parish School District
14,"4/10Below averageMabel Brasher Elementary School601 Cloverleaf Boulevard, Alexandria, LA, 71303 Homes for sale",Public district,PK-6,280.0,12:1,2 reviews,Rapides Parish School District
15,"3/10Below averageArthur F. Smith Middle Magnet School3100 David Jones Street, Alexandria, LA, 71302 Homes for sale",Public district,6-8,508.0,18:1,3 reviews,Rapides Parish School District
16,"3/10Below averageMartin Park Elementary School4203 Lisa Street, Alexandria, LA, 71302 Homes for sale",Public district,PK-5,292.0,15:1,1 review,Rapides Parish School District
17,"3/10Below averageL.S. Rugg Elementary School1319 Bush Avenue, Alexandria, LA, 71301 Homes for sale",Public district,PK-5,250.0,11:1,2 reviews,Rapides Parish School District
18,"2/10Below averageNorth Bayou Rapides Elementary New Vision Academy5500 England Drive, Alexandria, LA, 71303 Homes for sale",Public district,PK-6,319.0,14:1,1 review,Rapides Parish School District
19,"2/10Below averagePeabody Magnet High School2727 Jones Avenue, Alexandria, LA, 71302 Homes for sale",Public district,9-12,653.0,14:1,2 reviews,Rapides Parish School District
20,"Currently unratedLouisiana Special Education Center5400 Coliseum Boulevard, Alexandria, LA, 71303 Homes for sale",Public district,K-12,34.0,3:1,No reviews yet,Louisiana Special Education Center
21,"Currently unratedSt Rita Child Development CenterPo Box 7056, Alexandria, LA, 71306 Homes for sale",Private,PK,,,1 review,
22,"Currently unratedBright Beginnings Child Care CenterPo Box 12264, Alexandria, LA, 71315 Homes for sale",Private,PK-K,,,1 review,
23,"Currently unratedMiss Muffett Head Start1225 Windsor Place, Alexandria, LA, 71303 Homes for sale",Private,PK,,,No reviews yet,
24,"Currently unratedChildren Learning Palace1304 Beech Street, Alexandria, LA, 71301 Homes for sale",Private,PK,,,No reviews yet,
0,"8/10Above averageCetronia School3635 Broadway, Allentown, PA, 18104 Homes for sale",Public district,K-5,579.0,16:1,7 reviews,Parkland School District
1,"8/10Above averageKratzer School2200 Huckleberry Road, Allentown, PA, 18104 Homes for sale",Public district,K-5,455.0,14:1,2 reviews,Parkland School District
2,"8/10Above averageSpringhouse Middle School1200 Springhouse Road, Allentown, PA, 18104 Homes for sale",Public district,6-8,1286.0,19:1,16 reviews,Parkland School District
3,"7/10Above averageSalisbury Senior High School500 East Montgomery Street, Allentown, PA, 18103 Homes for sale",Public district,9-12,573.0,16:1,4 reviews,Salisbury Township School District
4,"7/10Above averageWescosville El School1064 Liberty Lane, Allentown, PA, 18106 Homes for sale",Public district,K-5,508.0,14:1,3 reviews,East Penn School District
5,"6/10AverageParkway Manor School768 Parkway Road, Allentown, PA, 18104 Homes for sale",Public district,K-5,556.0,15:1,5 reviews,Parkland School District
6,"6/10AverageParkland Senior High School2700 North Cedar Crest Boulevard, Allentown, PA, 18104 Homes for sale",Public district,9-12,3216.0,20:1,22 reviews,Parkland School District
7,"5/10AverageLincoln Leadership Academy Charter School1414 East Cedar St, Allentown, PA, 18109 Homes for sale",Public charter,K-12,735.0,15:1,13 reviews,Lincoln Leadership Academy Charter School
8,"5/10AverageArts Academy Charter School1610 East Emmaus Avenue, Allentown, PA, 18103 Homes for sale",Public charter,5-8,363.0,13:1,No reviews yet,Arts Academy Cs
9,"5/10AverageWestern Salisbury El School3201 Devonshire Road, Allentown, PA, 18103 Homes for sale",Public district,K-5,243.0,13:1,6 reviews,Salisbury Township School District
10,"5/10AverageHarry S Truman El School1400 Gaskill Street, Allentown, PA, 18103 Homes for sale",Public district,K-5,386.0,15:1,3 reviews,Salisbury Township School District
11,"5/10AverageRoberto Clemente Cs136 South 4th Street, Allentown, PA, 18102 Homes for sale",Public charter,6-12,313.0,14:1,6 reviews,Roberto Clemente Cs
12,"5/10AverageMuhlenberg El School740 North 21st Street, Allentown, PA, 18104 Homes for sale",Public district,K-5,448.0,13:1,6 reviews,Allentown City School District
13,"4/10Below averageExecutive Education Academy Charter School555 Union Boulevard, Allentown, PA, 18109 Homes for sale",Public charter,K-10,1183.0,18:1,No reviews yet,Test Load DISTRICT 121398065
14,"4/10Below averageSalisbury Middle School3301 Devonshire Road, Allentown, PA, 18103 Homes for sale",Public district,6-8,370.0,13:1,3 reviews,Salisbury Township School District
15,"4/10Below averageHiram W Dodd El School1944 South Church Street, Allentown, PA, 18103 Homes for sale",Public district,K-5,649.0,15:1,4 reviews,Allentown City School District
16,"4/10Below averageRitter El School790 North Plymouth Street, Allentown, PA, 18109 Homes for sale",Public district,K-5,604.0,13:1,1 review,Allentown City School District
17,"4/10Below averageCentral El School829 West Turner Street, Allentown, PA, 18102 Homes for sale",Public district,K-5,727.0,16:1,No reviews yet,Allentown City School District
